Repository Name,Username,Stars,URL
bypass-paywalls-chrome,iamadamdev,17000,https://github.com/iamadamdev/bypass-paywalls-chrome
refined-github,sindresorhus,14900,https://github.com/sindresorhus/refined-github
headless-recorder,checkly,13100,https://github.com/checkly/headless-recorder
codelf,unbug,11500,https://github.com/unbug/codelf
darkreader,darkreader,10500,https://github.com/darkreader/darkreader
listen1_chrome_extension,listen1,7600,https://github.com/listen1/listen1_chrome_extension
dejavu,appbaseio,7400,https://github.com/appbaseio/dejavu
screenity,alyssaxuu,5700,https://github.com/alyssaxuu/screenity
simpread,Kenshin,4800,https://github.com/Kenshin/simpread
medium-unlimited,manojVivek,4000,https://github.com/manojVivek/medium-unlimited
buster,dessant,3800,https://github.com/dessant/buster
daily,dailydotdev,3600,https://github.com/dailydotdev/daily
rails_panel,dejan,3600,https://github.com/dejan/rails_panel
FeHelper,zxlie,3600,https://github.com/zxlie/FeHelper
bilibili-helper-o,bilibili-helper,3600,https://github.com/bilibili-helper/bilibili-helper-o
altair,altair-graphql,3500,https://github.com/altair-graphql/altair
SingleFile,gildas-lormeau,3500,https://github.com/gildas-lormeau/SingleFile
stylus,openstyles,3400,https://github.com/openstyles/stylus
gmail.js,KartikTalwar,3400,https://github.com/KartikTalwar/gmail.js
crx-selection-translate,lmk123,3300,https://github.com/lmk123/crx-selection-translate
Reddit-Enhancement-Suite,honestbleeps,3200,https://github.com/honestbleeps/Reddit-Enhancement-Suite
Memex,WorldBrain,3100,https://github.com/WorldBrain/Memex
pangu.js,vinta,3100,https://github.com/vinta/pangu.js
jjb,sunoj,3000,https://github.com/sunoj/jjb
web-clipper,webclipper,2900,https://github.com/webclipper/web-clipper
extension-boilerplate,EmailThis,2900,https://github.com/EmailThis/extension-boilerplate
retire.js,RetireJS,2800,https://github.com/RetireJS/retire.js
SponsorBlock,ajayyy,2600,https://github.com/ajayyy/SponsorBlock
GhostText,fregante,2500,https://github.com/fregante/GhostText
json-viewer,tulios,2400,https://github.com/tulios/json-viewer
