Repository Name,Username,Stars,URL
electron,electron,94400,https://github.com/electron/electron
mkcert,FiloSottile,30900,https://github.com/FiloSottile/mkcert
playwright,microsoft,25700,https://github.com/microsoft/playwright
octotree,ovity,21400,https://github.com/ovity/octotree
nightmare,segmentio,18900,https://github.com/segmentio/nightmare
bypass-paywalls-chrome,iamadamdev,17000,https://github.com/iamadamdev/bypass-paywalls-chrome
linux-command,jaywcjlove,16300,https://github.com/jaywcjlove/linux-command
chromeless,prisma-archive,13300,https://github.com/prisma-archive/chromeless
headless-recorder,checkly,13100,https://github.com/checkly/headless-recorder
WebFundamentals,google,12100,https://github.com/google/WebFundamentals
react-color,casesandberg,9900,https://github.com/casesandberg/react-color
chrome-extensions-samples,GoogleChrome,8500,https://github.com/GoogleChrome/chrome-extensions-samples
uBlock,uBlock-LLC,8000,https://github.com/uBlock-LLC/uBlock
ext-saladict,crimx,7500,https://github.com/crimx/ext-saladict
chromedp,chromedp,6500,https://github.com/chromedp/chromedp
url-to-pdf-api,alvarcarto,6400,https://github.com/alvarcarto/url-to-pdf-api
InfoSpider,kangvcar,5600,https://github.com/kangvcar/InfoSpider
metamask-extension,MetaMask,5200,https://github.com/MetaMask/metamask-extension
headless-chrome-crawler,yujiosaka,5000,https://github.com/yujiosaka/headless-chrome-crawler
simpread,Kenshin,4800,https://github.com/Kenshin/simpread
debugger,firefox-devtools,4600,https://github.com/firefox-devtools/debugger
ferret,MontFerret,4600,https://github.com/MontFerret/ferret
polar-bookshelf,burtonator,4400,https://github.com/burtonator/polar-bookshelf
fetool,nieweidong,4300,https://github.com/nieweidong/fetool
themer,mjswensen,4300,https://github.com/mjswensen/themer
Surfingkeys,brookhong,3600,https://github.com/brookhong/Surfingkeys
bilibili-helper-o,bilibili-helper,3600,https://github.com/bilibili-helper/bilibili-helper-o
SingleFile,gildas-lormeau,3500,https://github.com/gildas-lormeau/SingleFile
melonJS,melonjs,3400,https://github.com/melonjs/melonJS
supercookie,jonasstrehle,3400,https://github.com/jonasstrehle/supercookie
