Repository Name,Username,Stars,URL
COVID-19,CSSEGISandData,27000,https://github.com/CSSEGISandData/COVID-19
covid19india-react,covid19india,6600,https://github.com/covid19india/covid19india-react
covid-19-data,nytimes,6500,https://github.com/nytimes/covid-19-data
covid19,tokyo-metropolitan-gov,6200,https://github.com/tokyo-metropolitan-gov/covid19
covid-19-data,owid,3900,https://github.com/owid/covid-19-data
COVID-19,pcm-dpc,3800,https://github.com/pcm-dpc/COVID-19
covid-chestxray-dataset,ieee8023,2700,https://github.com/ieee8023/covid-chestxray-dataset
app,WorldHealthOrganization,2100,https://github.com/WorldHealthOrganization/app
corona,geohot,2000,https://github.com/geohot/corona
corona-cli,ahmadawais,1700,https://github.com/ahmadawais/corona-cli
cwa-server,corona-warn-app,1700,https://github.com/corona-warn-app/cwa-server
coronavirus-tracker-api,ExpDev07,1500,https://github.com/ExpDev07/coronavirus-tracker-api
CoronaTracker,mhdhejazi,1400,https://github.com/mhdhejazi/CoronaTracker
awesome-coronavirus,soroushchehresa,1400,https://github.com/soroushchehresa/awesome-coronavirus
covid19_scenarios,neherlab,1400,https://github.com/neherlab/covid19_scenarios
covid19-dashboard,github,1300,https://github.com/github/covid19-dashboard
covid19,pomber,1200,https://github.com/pomber/covid19
coronavirus,FoldingAtHome,1100,https://github.com/FoldingAtHome/coronavirus
covid-19,datasets,1100,https://github.com/datasets/covid-19
tika-python,chrismattmann,1100,https://github.com/chrismattmann/tika-python
COVID-Net,lindawangg,990,https://github.com/lindawangg/COVID-Net
Face-Mask-Detection,chandrikadeb7,930,https://github.com/chandrikadeb7/Face-Mask-Detection
covid19model,ImperialCollegeLondon,927,https://github.com/ImperialCollegeLondon/covid19model
ESP32-Paxcounter,cyberman54,889,https://github.com/cyberman54/ESP32-Paxcounter
COVID-CT,UCSD-AI4H,859,https://github.com/UCSD-AI4H/COVID-CT
makair,makers-for-life,724,https://github.com/makers-for-life/makair
paperai,neuml,630,https://github.com/neuml/paperai
2019-wuhan-coronavirus-data,globalcitizen,627,https://github.com/globalcitizen/2019-wuhan-coronavirus-data
covid-vaccine-booking,pallupz,621,https://github.com/pallupz/covid-vaccine-booking
covidAPI,javieraviles,598,https://github.com/javieraviles/covidAPI
