Repository Name,Username,Stars,URL
ccxt,ccxt,20300,https://github.com/ccxt/ccxt
hubot,hubotio,15900,https://github.com/hubotio/hubot
python-telegram-bot,python-telegram-bot,15800,https://github.com/python-telegram-bot/python-telegram-bot
InstaPy,timgrossmann,13000,https://github.com/timgrossmann/InstaPy
discord.js,discordjs,12900,https://github.com/discordjs/discord.js
rasa,RasaHQ,11700,https://github.com/RasaHQ/rasa
ChatterBot,gunthercox,11300,https://github.com/gunthercox/ChatterBot
botkit,howdyai,10400,https://github.com/howdyai/botkit
botpress,botpress,9300,https://github.com/botpress/botpress
EverydayWechat,sfyc23,8400,https://github.com/sfyc23/EverydayWechat
leon,leon-ai,7700,https://github.com/leon-ai/leon
EZFN-Lobbybot,EZFNDEV,6900,https://github.com/EZFNDEV/EZFN-Lobbybot
YYeTsBot,tgbot-collection,6800,https://github.com/tgbot-collection/YYeTsBot
ailab,microsoft,6600,https://github.com/microsoft/ailab
botframework-sdk,microsoft,6600,https://github.com/microsoft/botframework-sdk
trump2cash,maxbbraun,6000,https://github.com/maxbbraun/trump2cash
botman,botman,5500,https://github.com/botman/botman
node-telegram-bot-api,yagop,5400,https://github.com/yagop/node-telegram-bot-api
DeepPavlov,deepmipt,5300,https://github.com/deepmipt/DeepPavlov
telegraf,telegraf,4800,https://github.com/telegraf/telegraf
nlp.js,axa-group,4500,https://github.com/axa-group/nlp.js
streetmerchant,jef,4300,https://github.com/jef/streetmerchant
igbot,ohld,4000,https://github.com/ohld/igbot
PokemonGo-Bot,PokemonGoF,3700,https://github.com/PokemonGoF/PokemonGo-Bot
bottender,Yoctol,3700,https://github.com/Yoctol/bottender
snips-nlu,snipsco,3500,https://github.com/snipsco/snips-nlu
telegram-list,goq,3100,https://github.com/goq/telegram-list
venom,orkestral,2900,https://github.com/orkestral/venom
jesse,jesse-ai,2800,https://github.com/jesse-ai/jesse
binance-trading-bot,chrisleekr,2700,https://github.com/chrisleekr/binance-trading-bot
