Repository Name,Username,Stars,URL
infinite-scroll,metafizzy,6900,https://github.com/metafizzy/infinite-scroll
Blog,ljianshu,6600,https://github.com/ljianshu/Blog
unfetch,developit,5100,https://github.com/developit/unfetch
form,jquery-form,5100,https://github.com/jquery-form/form
elFinder,Studio-42,4100,https://github.com/Studio-42/elFinder
tabulator,olifolkerd,4000,https://github.com/olifolkerd/tabulator
reqwest,ded,2900,https://github.com/ded/reqwest
learn-to-send-email-via-google-script-html-no-server,dwyl,2600,https://github.com/dwyl/learn-to-send-email-via-google-script-html-no-server
bliss,LeaVerou,2300,https://github.com/LeaVerou/bliss
wretch,elbywan,2200,https://github.com/elbywan/wretch
featherlight,noelboss,2000,https://github.com/noelboss/featherlight
jquery-confirm,craftpip,1700,https://github.com/craftpip/jquery-confirm
Ajax-hook,wendux,1700,https://github.com/wendux/Ajax-hook
sente,ptaoussanis,1600,https://github.com/ptaoussanis/sente
Enterprise,joaomilho,1500,https://github.com/joaomilho/Enterprise
web-interview,yisainan,1500,https://github.com/yisainan/web-interview
tracy,nette,1400,https://github.com/nette/tracy
jeeplatform,u014427391,1300,https://github.com/u014427391/jeeplatform
pjax,MoOx,1200,https://github.com/MoOx/pjax
css-spinner,loadingio,1100,https://github.com/loadingio/css-spinner
eCommerce,codingforentrepreneurs,1100,https://github.com/codingforentrepreneurs/eCommerce
uploader,danielm,1100,https://github.com/danielm/uploader
render_async,renderedtext,1000,https://github.com/renderedtext/render_async
saber,swlib,908,https://github.com/swlib/saber
infinite-ajax-scroll,webcreate,823,https://github.com/webcreate/infinite-ajax-scroll
opensource-socialnetwork,opensource-socialnetwork,755,https://github.com/opensource-socialnetwork/opensource-socialnetwork
RestClient,proyecto26,753,https://github.com/proyecto26/RestClient
rapid.js,rapidjs,706,https://github.com/rapidjs/rapid.js
ssm-BookAppointment,ni-ze,685,https://github.com/ni-ze/ssm-BookAppointment
JavaScriptStudy,csxiaoyaojianxian,546,https://github.com/csxiaoyaojianxian/JavaScriptStudy
