Repository Name,Username,Stars,URL
amp,amphp,3300,https://github.com/amphp/amp
MadelineProto,danog,1600,https://github.com/danog/MadelineProto
http-server,amphp,1100,https://github.com/amphp/http-server
telegram-api,unreal4u,656,https://github.com/unreal4u/telegram-api
http-client,amphp,570,https://github.com/amphp/http-client
parallel,amphp,499,https://github.com/amphp/parallel
service-bus,php-service-bus,295,https://github.com/php-service-bus/service-bus
mysql,amphp,240,https://github.com/amphp/mysql
byte-stream,amphp,231,https://github.com/amphp/byte-stream
parallel-functions,amphp,190,https://github.com/amphp/parallel-functions
process,amphp,133,https://github.com/amphp/process
socket,amphp,131,https://github.com/amphp/socket
redis,amphp,114,https://github.com/amphp/redis
acme,kelunik,103,https://github.com/kelunik/acme
mailgrab,PeeHaa,92,https://github.com/PeeHaa/mailgrab
dns,amphp,91,https://github.com/amphp/dns
websocket-client,amphp,88,https://github.com/amphp/websocket-client
sync,amphp,75,https://github.com/amphp/sync
asynit,jolicode,67,https://github.com/jolicode/asynit
websocket-server,amphp,65,https://github.com/amphp/websocket-server
postgres,amphp,57,https://github.com/amphp/postgres
beanstalk,amphp,54,https://github.com/amphp/beanstalk
file,amphp,54,https://github.com/amphp/file
cache,amphp,53,https://github.com/amphp/cache
hpack,amphp,48,https://github.com/amphp/hpack
windows-registry,amphp,49,https://github.com/amphp/windows-registry
serialization,amphp,45,https://github.com/amphp/serialization
ridge,phpinnacle,41,https://github.com/phpinnacle/ridge
Jeeves,Room-11,41,https://github.com/Room-11/Jeeves
aerys,amphp,40,https://github.com/amphp/aerys
