Repository Name,Username,Stars,URL
bitcoin,bitcoin,55600,https://github.com/bitcoin/bitcoin
syncthing,syncthing,39200,https://github.com/syncthing/syncthing
go-ethereum,ethereum,31400,https://github.com/ethereum/go-ethereum
webtorrent,webtorrent,24000,https://github.com/webtorrent/webtorrent
ipfs,ipfs,19600,https://github.com/ipfs/ipfs
ZeroNet,HelloZeroNet,16900,https://github.com/HelloZeroNet/ZeroNet
gun,amark,13600,https://github.com/amark/gun
PeerTube,Chocobozzz,9500,https://github.com/Chocobozzz/PeerTube
peerjs,peers,9400,https://github.com/peers/peerjs
webtorrent-desktop,webtorrent,8300,https://github.com/webtorrent/webtorrent-desktop
webrtc,pion,7500,https://github.com/pion/webrtc
lbry-sdk,lbryio,7100,https://github.com/lbryio/lbry-sdk
beaker,beakerbrowser,6300,https://github.com/beakerbrowser/beaker
monero,monero-project,6000,https://github.com/monero-project/monero
orbit-db,orbitdb,5800,https://github.com/orbitdb/orbit-db
Dragonfly,dragonflyoss,5600,https://github.com/dragonflyoss/Dragonfly
js-ipfs,ipfs,5600,https://github.com/ipfs/js-ipfs
simple-peer,feross,5600,https://github.com/feross/simple-peer
berty,berty,4600,https://github.com/berty/berty
kraken,uber,4600,https://github.com/uber/kraken
yjs,yjs,4100,https://github.com/yjs/yjs
torrent,anacrolix,3900,https://github.com/anacrolix/torrent
go-libp2p,libp2p,3800,https://github.com/libp2p/go-libp2p
tribler,Tribler,3700,https://github.com/Tribler/tribler
qTox,qTox,3600,https://github.com/qTox/qTox
bisq,bisq-network,3600,https://github.com/bisq-network/bisq
patchwork,ssbc,3500,https://github.com/ssbc/patchwork
ipfs-desktop,ipfs,3300,https://github.com/ipfs/ipfs-desktop
clay,golemfactory,3000,https://github.com/golemfactory/clay
instant.io,webtorrent,2800,https://github.com/webtorrent/instant.io
PyBitmessage,Bitmessage,2600,https://github.com/Bitmessage/PyBitmessage
PJON,gioblu,2600,https://github.com/gioblu/PJON
magnetissimo,sergiotapia,2500,https://github.com/sergiotapia/magnetissimo
bitcoin-wallet,bitcoin-wallet,2500,https://github.com/bitcoin-wallet/bitcoin-wallet
transgui,transmission-remote-gui,2300,https://github.com/transmission-remote-gui/transgui
bt,atomashpolskiy,2000,https://github.com/atomashpolskiy/bt
awesome-peer-to-peer,kgryte,1800,https://github.com/kgryte/awesome-peer-to-peer
metastream,samuelmaddock,1800,https://github.com/samuelmaddock/metastream
i2pd,PurpleI2P,1700,https://github.com/PurpleI2P/i2pd
syncthing-android,syncthing,1700,https://github.com/syncthing/syncthing-android
noise,perlin-network,1600,https://github.com/perlin-network/noise
hublin,linagora,1600,https://github.com/linagora/hublin
wave-share,ggerganov,1600,https://github.com/ggerganov/wave-share
js-libp2p,libp2p,1600,https://github.com/libp2p/js-libp2p
orbit,orbitdb,1600,https://github.com/orbitdb/orbit
dino,dino,1600,https://github.com/dino/dino
roll-call,mikeal,1600,https://github.com/mikeal/roll-call
smarGate,lazy-luo,1500,https://github.com/lazy-luo/smarGate
c-toxcore,TokTok,1500,https://github.com/TokTok/c-toxcore
ipfs-companion,ipfs,1400,https://github.com/ipfs/ipfs-companion
FISCO-BCOS,FISCO-BCOS,1400,https://github.com/FISCO-BCOS/FISCO-BCOS
dash,dashpay,1400,https://github.com/dashpay/dash
cargo-crev,crev-dev,1400,https://github.com/crev-dev/cargo-crev
i2p.i2p,i2p,1300,https://github.com/i2p/i2p.i2p
lnbook,lnbook,1200,https://github.com/lnbook/lnbook
syncthing-macos,syncthing,1200,https://github.com/syncthing/syncthing-macos
CovenantSQL,CovenantSQL,1200,https://github.com/CovenantSQL/CovenantSQL
Bitcoin.org,bitcoin-dot-org,1200,https://github.com/bitcoin-dot-org/Bitcoin.org
vpncloud,dswd,1100,https://github.com/dswd/vpncloud
WaykiChain,WaykiChain,1100,https://github.com/WaykiChain/WaykiChain
qtum,qtumproject,1100,https://github.com/qtumproject/qtum
exonum,exonum,1100,https://github.com/exonum/exonum
rats-search,DEgITx,1100,https://github.com/DEgITx/rats-search
ipfs-webui,ipfs,1100,https://github.com/ipfs/ipfs-webui
ufonet,epsylon,1100,https://github.com/epsylon/ufonet
bittorrent-dht,webtorrent,1000,https://github.com/webtorrent/bittorrent-dht
qri,qri-io,1000,https://github.com/qri-io/qri
toxic,JFreegman,1000,https://github.com/JFreegman/toxic
aether-app,aethereans,1000,https://github.com/aethereans/aether-app
ViralJS,PixelsCommander,953,https://github.com/PixelsCommander/ViralJS
Peergos,Peergos,938,https://github.com/Peergos/Peergos
peer-calls,peer-calls,938,https://github.com/peer-calls/peer-calls
openbazaar-go,OpenBazaar,933,https://github.com/OpenBazaar/openbazaar-go
radicle-alpha,radicle-dev,920,https://github.com/radicle-dev/radicle-alpha
p2p-media-loader,Novage,902,https://github.com/Novage/p2p-media-loader
CacheP2P,guerrerocarlos,858,https://github.com/guerrerocarlos/CacheP2P
webrtc_android,ddssingsong,852,https://github.com/ddssingsong/webrtc_android
rust-ipfs,rs-ipfs,821,https://github.com/rs-ipfs/rust-ipfs
FileNation,FileNation,811,https://github.com/FileNation/FileNation
distribyted,distribyted,807,https://github.com/distribyted/distribyted
ebookcoin,Ebookcoin,794,https://github.com/Ebookcoin/ebookcoin
hlsjs-p2p-engine,cdnbye,792,https://github.com/cdnbye/hlsjs-p2p-engine
manyverse,staltz,758,https://github.com/staltz/manyverse
fair-analytics,vesparny,755,https://github.com/vesparny/fair-analytics
BiglyBT,BiglySoftware,729,https://github.com/BiglySoftware/BiglyBT
OCSystem,onlychain,708,https://github.com/onlychain/OCSystem
cabal-desktop,cabal-club,687,https://github.com/cabal-club/cabal-desktop
webtorrent-cli,webtorrent,661,https://github.com/webtorrent/webtorrent-cli
flatend,lithdew,617,https://github.com/lithdew/flatend
openbazaar-desktop,OpenBazaar,607,https://github.com/OpenBazaar/openbazaar-desktop
