Repository Name,Username,Stars,URL
electron,electron,94400,https://github.com/electron/electron
mkcert,FiloSottile,30900,https://github.com/FiloSottile/mkcert
playwright,microsoft,25700,https://github.com/microsoft/playwright
octotree,ovity,21400,https://github.com/ovity/octotree
nightmare,segmentio,18900,https://github.com/segmentio/nightmare
bypass-paywalls-chrome,iamadamdev,17000,https://github.com/iamadamdev/bypass-paywalls-chrome
linux-command,jaywcjlove,16300,https://github.com/jaywcjlove/linux-command
chromeless,prisma-archive,13300,https://github.com/prisma-archive/chromeless
headless-recorder,checkly,13100,https://github.com/checkly/headless-recorder
WebFundamentals,google,12100,https://github.com/google/WebFundamentals
react-color,casesandberg,9900,https://github.com/casesandberg/react-color
chrome-extensions-samples,GoogleChrome,8500,https://github.com/GoogleChrome/chrome-extensions-samples
uBlock,uBlock-LLC,8000,https://github.com/uBlock-LLC/uBlock
ext-saladict,crimx,7500,https://github.com/crimx/ext-saladict
chromedp,chromedp,6500,https://github.com/chromedp/chromedp
url-to-pdf-api,alvarcarto,6400,https://github.com/alvarcarto/url-to-pdf-api
InfoSpider,kangvcar,5600,https://github.com/kangvcar/InfoSpider
metamask-extension,MetaMask,5200,https://github.com/MetaMask/metamask-extension
headless-chrome-crawler,yujiosaka,5000,https://github.com/yujiosaka/headless-chrome-crawler
simpread,Kenshin,4800,https://github.com/Kenshin/simpread
debugger,firefox-devtools,4600,https://github.com/firefox-devtools/debugger
ferret,MontFerret,4600,https://github.com/MontFerret/ferret
polar-bookshelf,burtonator,4400,https://github.com/burtonator/polar-bookshelf
fetool,nieweidong,4300,https://github.com/nieweidong/fetool
themer,mjswensen,4300,https://github.com/mjswensen/themer
Surfingkeys,brookhong,3600,https://github.com/brookhong/Surfingkeys
bilibili-helper-o,bilibili-helper,3600,https://github.com/bilibili-helper/bilibili-helper-o
SingleFile,gildas-lormeau,3500,https://github.com/gildas-lormeau/SingleFile
melonJS,melonjs,3400,https://github.com/melonjs/melonJS
supercookie,jonasstrehle,3400,https://github.com/jonasstrehle/supercookie
crx-selection-translate,lmk123,3300,https://github.com/lmk123/crx-selection-translate
HackBrowserData,moonD4rk,3300,https://github.com/moonD4rk/HackBrowserData
body-scroll-lock,willmcpo,3200,https://github.com/willmcpo/body-scroll-lock
jest-puppeteer,smooth-code,3200,https://github.com/smooth-code/jest-puppeteer
jjb,sunoj,3000,https://github.com/sunoj/jjb
browser,bitwarden,2900,https://github.com/bitwarden/browser
YouTubeCenter,YePpHa,2900,https://github.com/YePpHa/YouTubeCenter
AndroidChromium,JackyAndroid,2900,https://github.com/JackyAndroid/AndroidChromium
Addon,ClearURLs,2800,https://github.com/ClearURLs/Addon
qawolf,qawolf,2800,https://github.com/qawolf/qawolf
puppeteer-extra,berstend,2800,https://github.com/berstend/puppeteer-extra
xdm,subhra74,2700,https://github.com/subhra74/xdm
React-Sight,React-Sight,2600,https://github.com/React-Sight/React-Sight
selenium-python-helium,mherrmann,2600,https://github.com/mherrmann/selenium-python-helium
SponsorBlock,ajayyy,2600,https://github.com/ajayyy/SponsorBlock
serverless-chrome,adieuadieu,2600,https://github.com/adieuadieu/serverless-chrome
json-viewer,tulios,2400,https://github.com/tulios/json-viewer
cefpython,cztomczak,2400,https://github.com/cztomczak/cefpython
floccus,floccusaddon,2300,https://github.com/floccusaddon/floccus
the-front-end-knowledge-you-may-not-know,justjavac,2200,https://github.com/justjavac/the-front-end-knowledge-you-may-not-know
lightproxy,alibaba,2200,https://github.com/alibaba/lightproxy
ReplaceGoogleCDN,justjavac,2200,https://github.com/justjavac/ReplaceGoogleCDN
badssl.com,chromium,2100,https://github.com/chromium/badssl.com
chromium-vim,1995eaton,2100,https://github.com/1995eaton/chromium-vim
vscode-chrome-debug,microsoft,2100,https://github.com/microsoft/vscode-chrome-debug
phpdesktop,cztomczak,2000,https://github.com/cztomczak/phpdesktop
puppeteer-sharp,hardkoded,1900,https://github.com/hardkoded/puppeteer-sharp
blog,gwuhaolin,1900,https://github.com/gwuhaolin/blog
TimeCat,oct16,1900,https://github.com/oct16/TimeCat
notes,guanguans,1800,https://github.com/guanguans/notes
asar,electron,1800,https://github.com/electron/asar
marinara,schmich,1700,https://github.com/schmich/marinara
Front-end-tutorial,nicejade,1600,https://github.com/nicejade/Front-end-tutorial
funds,x2rr,1600,https://github.com/x2rr/funds
t-rex-runner,wayou,1500,https://github.com/wayou/t-rex-runner
puppeteer-webperf,addyosmani,1500,https://github.com/addyosmani/puppeteer-webperf
docker-selenium,elgalu,1400,https://github.com/elgalu/docker-selenium
lightcrawler,github,1400,https://github.com/github/lightcrawler
ViewFinderJS,i5ik,1300,https://github.com/i5ik/ViewFinderJS
PixivBatchDownloader,xuejianxianzun,1300,https://github.com/xuejianxianzun/PixivBatchDownloader
Userscript-Plus,jae-jae,1200,https://github.com/jae-jae/Userscript-Plus
ChromeLikeTabSwitcher,michael-rapp,1200,https://github.com/michael-rapp/ChromeLikeTabSwitcher
better-onetab,cnwangjie,1200,https://github.com/cnwangjie/better-onetab
AdguardBrowserExtension,AdguardTeam,1200,https://github.com/AdguardTeam/AdguardBrowserExtension
gowitness,sensepost,1100,https://github.com/sensepost/gowitness
cxmooc-tools,CodFrm,1100,https://github.com/CodFrm/cxmooc-tools
TileIconifier,Jonno12345,1100,https://github.com/Jonno12345/TileIconifier
WeiboPicBed,suxiaogang,1100,https://github.com/suxiaogang/WeiboPicBed
Cookie-AutoDelete,Cookie-AutoDelete,1100,https://github.com/Cookie-AutoDelete/Cookie-AutoDelete
web-extension-starter,abhijithvijayan,1100,https://github.com/abhijithvijayan/web-extension-starter
Indium,NicolasPetton,1100,https://github.com/NicolasPetton/Indium
ferrum,rubycdp,1100,https://github.com/rubycdp/ferrum
puppeteer-deep,zhentaoo,1100,https://github.com/zhentaoo/puppeteer-deep
github-awesome-autocomplete,algolia,1000,https://github.com/algolia/github-awesome-autocomplete
browserpass-legacy,browserpass,1000,https://github.com/browserpass/browserpass-legacy
GayHub,jawil,1000,https://github.com/jawil/GayHub
vialer-js,vialer,988,https://github.com/vialer/vialer-js
playwright-dotnet,microsoft,985,https://github.com/microsoft/playwright-dotnet
DuckieTV,SchizoDuckie,953,https://github.com/SchizoDuckie/DuckieTV
navalia,joelgriffith,946,https://github.com/joelgriffith/navalia
google-calendar-crx,manastungare,943,https://github.com/manastungare/google-calendar-crx
ember-inspector,emberjs,940,https://github.com/emberjs/ember-inspector
atomic-chrome,danhper,929,https://github.com/danhper/atomic-chrome
