Repository Name,Username,Stars,URL
flutter,flutter,125000,https://github.com/flutter/flutter
the-art-of-command-line,jlevy,92900,https://github.com/jlevy/the-art-of-command-line
node,nodejs,80400,https://github.com/nodejs/node
PowerToys,microsoft,57200,https://github.com/microsoft/PowerToys
atom,atom,55700,https://github.com/atom/atom
x64dbg,x64dbg,37000,https://github.com/x64dbg/x64dbg
alacritty,alacritty,33500,https://github.com/alacritty/alacritty
edex-ui,GitSquared,33100,https://github.com/GitSquared/edex-ui
mkcert,FiloSottile,30900,https://github.com/FiloSottile/mkcert
PowerShell,PowerShell,27700,https://github.com/PowerShell/PowerShell
nativefier,nativefier,27600,https://github.com/nativefier/nativefier
Motrix,agalwood,26700,https://github.com/agalwood/Motrix
sherlock,sherlock-project,26000,https://github.com/sherlock-project/sherlock
nylas-mail,nylas,24600,https://github.com/nylas/nylas-mail
calculator,microsoft,22300,https://github.com/microsoft/calculator
Wox,Wox-launcher,20400,https://github.com/Wox-launcher/Wox
marktext,marktext,19000,https://github.com/marktext/marktext
Ventoy,ventoy,19000,https://github.com/ventoy/Ventoy
libgdx,libgdx,18600,https://github.com/libgdx/libgdx
notable,notable,18000,https://github.com/notable/notable
libuv,libuv,17700,https://github.com/libuv/libuv
Boostnote,BoostIO,17400,https://github.com/BoostIO/Boostnote
nvm-windows,coreybutler,16600,https://github.com/coreybutler/nvm-windows
Awesome,Awesome-Windows,16600,https://github.com/Awesome-Windows/Awesome
cocos2d-x,cocos2d,15300,https://github.com/cocos2d/cocos2d-x
rufus,pbatard,15300,https://github.com/pbatard/rufus
winget-cli,microsoft,14300,https://github.com/microsoft/winget-cli
appium,appium,13900,https://github.com/appium/appium
notepad-plus-plus,notepad-plus-plus,13800,https://github.com/notepad-plus-plus/notepad-plus-plus
scoop,lukesampson,13600,https://github.com/lukesampson/scoop
kivy,kivy,13200,https://github.com/kivy/kivy
vcpkg,microsoft,13200,https://github.com/microsoft/vcpkg
MMKV,Tencent,12900,https://github.com/Tencent/MMKV
brook,txthinking,12400,https://github.com/txthinking/brook
Files,files-community,11200,https://github.com/files-community/Files
Mailspring,Foundry376,11000,https://github.com/Foundry376/Mailspring
keepassxc,keepassxreboot,10700,https://github.com/keepassxreboot/keepassxc
RevokeMsgPatcher,huiyadanli,10400,https://github.com/huiyadanli/RevokeMsgPatcher
wasmer,wasmerio,10000,https://github.com/wasmerio/wasmer
labs,docker,10000,https://github.com/docker/labs
brave-browser,brave,9900,https://github.com/brave/brave-browser
OpenRCT2,OpenRCT2,9600,https://github.com/OpenRCT2/OpenRCT2
FreeCAD,FreeCAD,9600,https://github.com/FreeCAD/FreeCAD
reactos,reactos,9600,https://github.com/reactos/reactos
YesPlayMusic,qier222,9000,https://github.com/qier222/YesPlayMusic
qt,therecipe,8600,https://github.com/therecipe/qt
ChakraCore,chakra-core,8500,https://github.com/chakra-core/ChakraCore
openFrameworks,openframeworks,8400,https://github.com/openframeworks/openFrameworks
PENTESTING-BIBLE,blaCCkHatHacEEkr,8400,https://github.com/blaCCkHatHacEEkr/PENTESTING-BIBLE
webtorrent-desktop,webtorrent,8300,https://github.com/webtorrent/webtorrent-desktop
TranslucentTB,TranslucentTB,8100,https://github.com/TranslucentTB/TranslucentTB
browser-laptop,brave,8000,https://github.com/brave/browser-laptop
glfw,glfw,7800,https://github.com/glfw/glfw
MahApps.Metro,MahApps,7800,https://github.com/MahApps/MahApps.Metro
Awesome_APIs,TonnyL,7600,https://github.com/TonnyL/Awesome_APIs
choco,chocolatey,7600,https://github.com/chocolatey/choco
devhub,devhubapp,7500,https://github.com/devhubapp/devhub
gridea,getgridea,7500,https://github.com/getgridea/gridea
psutil,giampaolo,7500,https://github.com/giampaolo/psutil
ConEmu,Maximus5,7400,https://github.com/Maximus5/ConEmu
youtube-dl-gui,MrS0m30n3,7200,https://github.com/MrS0m30n3/youtube-dl-gui
gitsome,donnemartin,7100,https://github.com/donnemartin/gitsome
spicetify-cli,khanhas,7000,https://github.com/khanhas/spicetify-cli
duf,muesli,6700,https://github.com/muesli/duf
nuclear,nukeop,6600,https://github.com/nukeop/nuclear
pupy,n1nj4sec,6400,https://github.com/n1nj4sec/pupy
outline-client,Jigsaw-Code,6300,https://github.com/Jigsaw-Code/outline-client
oni2,onivim,6200,https://github.com/onivim/oni2
Captura,MathewSachin,6200,https://github.com/MathewSachin/Captura
TiddlyWiki5,Jermolene,6100,https://github.com/Jermolene/TiddlyWiki5
community-edition,ramboxapp,6000,https://github.com/ramboxapp/community-edition
Squirrel.Windows,Squirrel,5900,https://github.com/Squirrel/Squirrel.Windows
