Repository Name,Username,Stars,URL
next.js,vercel,70500,https://github.com/vercel/next.js
webpack,webpack,58700,https://github.com/webpack/webpack
rust,rust-lang,56800,https://github.com/rust-lang/rust
gatsby,gatsbyjs,50800,https://github.com/gatsbyjs/gatsby
svelte,sveltejs,48500,https://github.com/sveltejs/svelte
babel,babel,39400,https://github.com/babel/babel
parcel,parcel-bundler,38600,https://github.com/parcel-bundler/parcel
kotlin,JetBrains,38000,https://github.com/JetBrains/kotlin
esbuild,evanw,25800,https://github.com/evanw/esbuild
marked,markedjs,25300,https://github.com/markedjs/marked
v,vlang,24500,https://github.com/vlang/v
pkg,vercel,18400,https://github.com/vercel/pkg
v8,v8,17900,https://github.com/v8/v8
swc,swc-project,12600,https://github.com/swc-project/swc
assemblyscript,AssemblyScript,12300,https://github.com/AssemblyScript/assemblyscript
bytecode-viewer,Konloch,12200,https://github.com/Konloch/bytecode-viewer
Nim,nim-lang,11500,https://github.com/nim-lang/Nim
gopherjs,gopherjs,10300,https://github.com/gopherjs/gopherjs
zig,ziglang,9700,https://github.com/ziglang/zig
compiler-explorer,compiler-explorer,9000,https://github.com/compiler-explorer/compiler-explorer
kotlin-native,JetBrains,7100,https://github.com/JetBrains/kotlin-native
tvm,apache,6900,https://github.com/apache/tvm
numba,numba,6700,https://github.com/numba/numba
compiler,elm,6500,https://github.com/elm/compiler
awesome-compilers,aalhour,6100,https://github.com/aalhour/awesome-compilers
Nuitka,Nuitka,5500,https://github.com/Nuitka/Nuitka
lebab,lebab,5400,https://github.com/lebab/lebab
acwj,DoctorWkt,5400,https://github.com/DoctorWkt/acwj
rescript-compiler,rescript-lang,5300,https://github.com/rescript-lang/rescript-compiler
enso,enso-org,4800,https://github.com/enso-org/enso
dotty,lampepfl,4600,https://github.com/lampepfl/dotty
red,red,4600,https://github.com/red/red
opal,opal,4500,https://github.com/opal/opal
walt,ballercat,4500,https://github.com/ballercat/walt
Halide,halide,4400,https://github.com/halide/Halide
haxe,HaxeFoundation,4400,https://github.com/HaxeFoundation/haxe
groovy,apache,4200,https://github.com/apache/groovy
scala-js,scala-js,4200,https://github.com/scala-js/scala-js
sucrase,alangpierce,4000,https://github.com/alangpierce/sucrase
scala-native,scala-native,4000,https://github.com/scala-native/scala-native
hy,hylang,4000,https://github.com/hylang/hy
craftinginterpreters,munificent,3500,https://github.com/munificent/craftinginterpreters
mint,mint-lang,3400,https://github.com/mint-lang/mint
ocaml,ocaml,3300,https://github.com/ocaml/ocaml
phenomic,MoOx,3300,https://github.com/MoOx/phenomic
gleam,gleam-lang,3100,https://github.com/gleam-lang/gleam
write-you-a-haskell,sdiehl,3000,https://github.com/sdiehl/write-you-a-haskell
mtail,google,2800,https://github.com/google/mtail
