Repository Name,Username,Stars,URL
interview,huihut,19400,https://github.com/huihut/interview
HarmonyOS,Awesome-HarmonyOS,18100,https://github.com/Awesome-HarmonyOS/HarmonyOS
serenity,SerenityOS,14000,https://github.com/SerenityOS/serenity
redox,redox-os,13300,https://github.com/redox-os/redox
raspberry-pi-os,s-matyukevich,10400,https://github.com/s-matyukevich/raspberry-pi-os
reactos,reactos,9600,https://github.com/reactos/reactos
os01,tuhdo,9300,https://github.com/tuhdo/os01
blog_os,phil-opp,7400,https://github.com/phil-opp/blog_os
NodeOS,NodeOS,6400,https://github.com/NodeOS/NodeOS
Waking-Up,wolverinn,5600,https://github.com/wolverinn/Waking-Up
bottlerocket,bottlerocket-os,5600,https://github.com/bottlerocket-os/bottlerocket
rust-raspberrypi-OS-tutorials,rust-embedded,4900,https://github.com/rust-embedded/rust-raspberrypi-OS-tutorials
IncludeOS,includeos,4400,https://github.com/includeos/IncludeOS
30dayMakeOS,yourtion,3800,https://github.com/yourtion/30dayMakeOS
toaruos,klange,3600,https://github.com/klange/toaruos
tock,tock,3000,https://github.com/tock/tock
oshi,oshi,2600,https://github.com/oshi/oshi
nebulet,nebulet,2200,https://github.com/nebulet/nebulet
reading,amilajack,1700,https://github.com/amilajack/reading
build,armbian,1700,https://github.com/armbian/build
papers-notebook,dyweb,1500,https://github.com/dyweb/papers-notebook
snakeware,joshiemoore,1500,https://github.com/joshiemoore/snakeware
Computer-Science-Resources,the-akira,1400,https://github.com/the-akira/Computer-Science-Resources
Theseus,theseus-os,1400,https://github.com/theseus-os/Theseus
Java-Notes,PansonPanson,1400,https://github.com/PansonPanson/Java-Notes
skift,skiftOS,1300,https://github.com/skiftOS/skift
installer,AnarchyLinux,1300,https://github.com/AnarchyLinux/installer
harvey,Harvey-OS,1300,https://github.com/Harvey-OS/harvey
AtomOS,amaneureka,1200,https://github.com/amaneureka/AtomOS
chromium_os-raspberry_pi,FydeOS,1200,https://github.com/FydeOS/chromium_os-raspberry_pi
cross-platform-node-guide,ehmicky,1200,https://github.com/ehmicky/cross-platform-node-guide
KnightOS,KnightOS,1200,https://github.com/KnightOS/KnightOS
haiku,haiku,1200,https://github.com/haiku/haiku
lilith,ffwff,1100,https://github.com/ffwff/lilith
minimal,ivandavidov,1100,https://github.com/ivandavidov/minimal
illumos-gate,illumos,1000,https://github.com/illumos/illumos-gate
RaspberryMatic,jens-maus,851,https://github.com/jens-maus/RaspberryMatic
winix,halfer53,842,https://github.com/halfer53/winix
tech-refrigerator,GimunLee,807,https://github.com/GimunLee/tech-refrigerator
an-askreddit-list-of-compsci-books,smellslikekeenspirit,739,https://github.com/smellslikekeenspirit/an-askreddit-list-of-compsci-books
cello,hyperledger,735,https://github.com/hyperledger/cello
darch,godarch,717,https://github.com/godarch/darch
archcraft,archcraft-os,710,https://github.com/archcraft-os/archcraft
FreeNOS,nieklinnenbank,700,https://github.com/nieklinnenbank/FreeNOS
CustomArch,adi1090x,608,https://github.com/adi1090x/CustomArch
managarm,managarm,598,https://github.com/managarm/managarm
libhermit-rs,hermitcore,598,https://github.com/hermitcore/libhermit-rs
its,PDP-10,585,https://github.com/PDP-10/its
vinix,vlang,582,https://github.com/vlang/vinix
JingOS,JingOS-team,553,https://github.com/JingOS-team/JingOS
WingOS,Supercip971,546,https://github.com/Supercip971/WingOS
nve,ehmicky,539,https://github.com/ehmicky/nve
98,1j01,484,https://github.com/1j01/98
gramado,frednora,484,https://github.com/frednora/gramado
fuchsia-docs-zh-CN,zhangpf,474,https://github.com/zhangpf/fuchsia-docs-zh-CN
alis,picodotdev,469,https://github.com/picodotdev/alis
GATE-and-CSE-Resources-for-Students,baquer,463,https://github.com/baquer/GATE-and-CSE-Resources-for-Students
PowerNex,PowerNex,462,https://github.com/PowerNex/PowerNex
FlingOS,FlingOS,456,https://github.com/FlingOS/FlingOS
OS13k,KilledByAPixel,447,https://github.com/KilledByAPixel/OS13k
xboot,xboot,445,https://github.com/xboot/xboot
phantomuserland,dzavalishin,435,https://github.com/dzavalishin/phantomuserland
LemonOS,LemonOSProject,417,https://github.com/LemonOSProject/LemonOS
Aquila,thethumbler,415,https://github.com/thethumbler/Aquila
ponyos,klange,409,https://github.com/klange/ponyos
LegoOS,WukLab,378,https://github.com/WukLab/LegoOS
qword,qword-os,369,https://github.com/qword-os/qword
distortos,DISTORTEC,366,https://github.com/DISTORTEC/distortos
rusty-hermit,hermitcore,348,https://github.com/hermitcore/rusty-hermit
ostep-hw,xxyzz,324,https://github.com/xxyzz/ostep-hw
unikraft,unikraft,324,https://github.com/unikraft/unikraft
rust-os-comparison,flosse,312,https://github.com/flosse/rust-os-comparison
Maurice-Bach-Notes,suvratapte,306,https://github.com/suvratapte/Maurice-Bach-Notes
Cnchi,Antergos,303,https://github.com/Antergos/Cnchi
hardenedBSD,HardenedBSD,291,https://github.com/HardenedBSD/hardenedBSD
How-to-prepare-for-google-interview-SWE-SRE,mister0,290,https://github.com/mister0/How-to-prepare-for-google-interview-SWE-SRE
eve,lf-edge,289,https://github.com/lf-edge/eve
resea,nuta,284,https://github.com/nuta/resea
TechnicalNote,jobhope,272,https://github.com/jobhope/TechnicalNote
jehanne,JehanneOS,260,https://github.com/JehanneOS/jehanne
Cyjon,Blackend,259,https://github.com/Blackend/Cyjon
HUSTER-CS,AlexFanw,259,https://github.com/AlexFanw/HUSTER-CS
xv6-book-chinese,deyuhua,239,https://github.com/deyuhua/xv6-book-chinese
manticore,manticoreos,239,https://github.com/manticoreos/manticore
luakernel,ers35,236,https://github.com/ers35/luakernel
big-companies-interview-questions,realabbas,235,https://github.com/realabbas/big-companies-interview-questions
HeliOS,MannyPeterson,231,https://github.com/MannyPeterson/HeliOS
OpenHarmony,fenwii,228,https://github.com/fenwii/OpenHarmony
human-signals,ehmicky,228,https://github.com/ehmicky/human-signals
eduOS-rs,RWTH-OS,222,https://github.com/RWTH-OS/eduOS-rs
pluto,ZystemOS,220,https://github.com/ZystemOS/pluto
emerald,Abb1x,206,https://github.com/Abb1x/emerald
mos,MQuy,202,https://github.com/MQuy/mos
pinpog,tsoding,200,https://github.com/tsoding/pinpog
frosted,insane-adding-machines,196,https://github.com/insane-adding-machines/frosted
libhermit,hermitcore,194,https://github.com/hermitcore/libhermit
