Repository Name,Username,Stars,URL
system-design-primer,donnemartin,138000,https://github.com/donnemartin/system-design-primer
profile-summary-for-github,tipsy,19400,https://github.com/tipsy/profile-summary-for-github
spellbook-of-modern-webdev,dexteryy,13000,https://github.com/dexteryy/spellbook-of-modern-webdev
filestash,mickael-kerjean,4700,https://github.com/mickael-kerjean/filestash
webglstudio.js,jagenjo,4400,https://github.com/jagenjo/webglstudio.js
microblog,miguelgrinberg,3600,https://github.com/miguelgrinberg/microblog
mpx,didi,2800,https://github.com/didi/mpx
wave,h2oai,2600,https://github.com/h2oai/wave
uwsgi-nginx-flask-docker,tiangolo,2500,https://github.com/tiangolo/uwsgi-nginx-flask-docker
blackhat-arsenal-tools,toolswatch,2500,https://github.com/toolswatch/blackhat-arsenal-tools
cloudtunes,jakubroztocil,2400,https://github.com/jakubroztocil/cloudtunes
react-native-open-project,MarnoDev,2200,https://github.com/MarnoDev/react-native-open-project
app-privacy-policy-generator,nisrulz,2000,https://github.com/nisrulz/app-privacy-policy-generator
terminal-in-react,nitin42,1900,https://github.com/nitin42/terminal-in-react
metastream,samuelmaddock,1800,https://github.com/samuelmaddock/metastream
webapp.rs,saschagrunert,1800,https://github.com/saschagrunert/webapp.rs
jasypt-spring-boot,ulisesbocchio,1700,https://github.com/ulisesbocchio/jasypt-spring-boot
wxDraw,bobiscool,1600,https://github.com/bobiscool/wxDraw
coronavirus-tracker-api,ExpDev07,1500,https://github.com/ExpDev07/coronavirus-tracker-api
ever-traduora,ever-co,1500,https://github.com/ever-co/ever-traduora
next-pwa,shadowwalker,1400,https://github.com/shadowwalker/next-pwa
Weylus,H-M-H,1300,https://github.com/H-M-H/Weylus
cloudbeaver,dbeaver,1200,https://github.com/dbeaver/cloudbeaver
jpg-glitch,snorpey,1100,https://github.com/snorpey/jpg-glitch
anarki,arclanguage,1100,https://github.com/arclanguage/anarki
csswand,oliver-gomes,1100,https://github.com/oliver-gomes/csswand
traingenerator,jrieke,1000,https://github.com/jrieke/traingenerator
nsfw-filter,nsfw-filter,1000,https://github.com/nsfw-filter/nsfw-filter
cryptii,cryptii,1000,https://github.com/cryptii/cryptii
wire-webapp,wireapp,1000,https://github.com/wireapp/wire-webapp
generator-fountain-webapp,FountainJS,980,https://github.com/FountainJS/generator-fountain-webapp
local-web-server,lwsjs,955,https://github.com/lwsjs/local-web-server
keras-flask-deploy-webapp,mtobeiyf,900,https://github.com/mtobeiyf/keras-flask-deploy-webapp
piral,smapiot,869,https://github.com/smapiot/piral
hawkpost,whitesmith,847,https://github.com/whitesmith/hawkpost
HolyTips,HolyBugx,840,https://github.com/HolyBugx/HolyTips
framework,featherhttp,789,https://github.com/featherhttp/framework
briefing,holtwick,783,https://github.com/holtwick/briefing
bowtie,jwkvam,729,https://github.com/jwkvam/bowtie
zhihudaily-vue,yatessss,655,https://github.com/yatessss/zhihudaily-vue
mORMot,synopse,641,https://github.com/synopse/mORMot
app-framework,scriptPilot,640,https://github.com/scriptPilot/app-framework
OpenUserJS.org,OpenUserJS,635,https://github.com/OpenUserJS/OpenUserJS.org
money-tracker,ayastreb,611,https://github.com/ayastreb/money-tracker
ResponsiveFramework,Codelessly,575,https://github.com/Codelessly/ResponsiveFramework
rssbox,stefansundin,535,https://github.com/stefansundin/rssbox
labnotebook,henripal,528,https://github.com/henripal/labnotebook
constable,thoughtbot,516,https://github.com/thoughtbot/constable
IPRotate_Burp_Extension,RhinoSecurityLabs,516,https://github.com/RhinoSecurityLabs/IPRotate_Burp_Extension
Tasks,thewhitetulip,513,https://github.com/thewhitetulip/Tasks
AndroidUIX,linfaxin,501,https://github.com/linfaxin/AndroidUIX
uwsgi-nginx-docker,tiangolo,500,https://github.com/tiangolo/uwsgi-nginx-docker
ytmdl-web-v2,deepjyoti30,487,https://github.com/deepjyoti30/ytmdl-web-v2
Monitorr,Monitorr,486,https://github.com/Monitorr/Monitorr
openvpn-web-ui,adamwalach,478,https://github.com/adamwalach/openvpn-web-ui
nestjs-bff,ablestack,475,https://github.com/ablestack/nestjs-bff
webprotege,protegeproject,472,https://github.com/protegeproject/webprotege
haskell-code-explorer,alexwl,462,https://github.com/alexwl/haskell-code-explorer
sandbox,taniarascia,426,https://github.com/taniarascia/sandbox
fans,yujinjin,420,https://github.com/yujinjin/fans
Bastillion-EC2,bastillion-io,413,https://github.com/bastillion-io/Bastillion-EC2
udash-core,UdashFramework,409,https://github.com/UdashFramework/udash-core
coreui,coreui,403,https://github.com/coreui/coreui
nusmods,nusmodifications,401,https://github.com/nusmodifications/nusmods
gwt-material,GwtMaterialDesign,389,https://github.com/GwtMaterialDesign/gwt-material
picoweb,pfalcon,376,https://github.com/pfalcon/picoweb
play-samples,playframework,370,https://github.com/playframework/play-samples
Portal-Lite,Privoce,360,https://github.com/Privoce/Portal-Lite
CPPWebFramework,HerikLyma,358,https://github.com/HerikLyma/CPPWebFramework
darkmatter,tamamu,338,https://github.com/tamamu/darkmatter
sCalc,dunizb,336,https://github.com/dunizb/sCalc
vuefront,vuefront,334,https://github.com/vuefront/vuefront
spa,zhaoda,331,https://github.com/zhaoda/spa
neteasemusic,sqaiyan,327,https://github.com/sqaiyan/neteasemusic
TachiWeb-Server,TachiWeb,325,https://github.com/TachiWeb/TachiWeb-Server
litewrite,litewrite,322,https://github.com/litewrite/litewrite
laconia,taniarascia,320,https://github.com/taniarascia/laconia
IDE,thestrukture,315,https://github.com/thestrukture/IDE
