Repository Name,Username,Stars,URL
CS-Notes,CyC2018,135000,https://github.com/CyC2018/CS-Notes
project-based-learning,tuvtran,52500,https://github.com/tuvtran/project-based-learning
leetcode,azl397985856,43000,https://github.com/azl397985856/leetcode
x64dbg,x64dbg,37000,https://github.com/x64dbg/x64dbg
awesome-cpp,fffaraz,32299,https://github.com/fffaraz/awesome-cpp
calculator,microsoft,22300,https://github.com/microsoft/calculator
openpose,CMU-Perceptual-Computing-Lab,21400,https://github.com/CMU-Perceptual-Computing-Lab/openpose
interview,huihut,19400,https://github.com/huihut/interview
yuzu,yuzu-emu,15100,https://github.com/yuzu-emu/yuzu
modern-cpp-tutorial,changkun,14100,https://github.com/changkun/modern-cpp-tutorial
C-Plus-Plus,TheAlgorithms,13400,https://github.com/TheAlgorithms/C-Plus-Plus
vcpkg,microsoft,13200,https://github.com/microsoft/vcpkg
leetcode-master,youngyangyang04,12900,https://github.com/youngyangyang04/leetcode-master
infer,facebook,12400,https://github.com/facebook/infer
modern-cpp-features,AnthonyCalandra,12300,https://github.com/AnthonyCalandra/modern-cpp-features
spdlog,gabime,12100,https://github.com/gabime/spdlog
Sourcetrail,CoatiSoftware,11600,https://github.com/CoatiSoftware/Sourcetrail
tink,google,11400,https://github.com/google/tink
solidity,ethereum,11300,https://github.com/ethereum/solidity
Qv2ray,Qv2ray,11300,https://github.com/Qv2ray/Qv2ray
tinyrenderer,ssloy,10900,https://github.com/ssloy/tinyrenderer
openage,SFTtech,10400,https://github.com/SFTtech/openage
antlr4,antlr,10300,https://github.com/antlr/antlr4
BackgroundMusic,kyleneideck,9800,https://github.com/kyleneideck/BackgroundMusic
OpenRCT2,OpenRCT2,9600,https://github.com/OpenRCT2/OpenRCT2
compiler-explorer,compiler-explorer,9000,https://github.com/compiler-explorer/compiler-explorer
milewski-ctfp-pdf,hmemcpy,8600,https://github.com/hmemcpy/milewski-ctfp-pdf
TabNine,codota,8400,https://github.com/codota/TabNine
fprime,nasa,8300,https://github.com/nasa/fprime
awesome-modern-cpp,rigtorp,8100,https://github.com/rigtorp/awesome-modern-cpp
vowpal_wabbit,VowpalWabbit,7600,https://github.com/VowpalWabbit/vowpal_wabbit
dolphin,dolphin-emu,7500,https://github.com/dolphin-emu/dolphin
Ciphey,Ciphey,7300,https://github.com/Ciphey/Ciphey
citra,citra-emu,6600,https://github.com/citra-emu/citra
pcl,PointCloudLibrary,6400,https://github.com/PointCloudLibrary/pcl
cpprestsdk,microsoft,6400,https://github.com/microsoft/cpprestsdk
nebula,vesoft-inc,6300,https://github.com/vesoft-inc/nebula
cython,cython,6200,https://github.com/cython/cython
MuseScore,musescore,6100,https://github.com/musescore/MuseScore
leetcode,doocs,6100,https://github.com/doocs/leetcode
typesense,typesense,6000,https://github.com/typesense/typesense
cmake-examples,ttroy50,5800,https://github.com/ttroy50/cmake-examples
wav2letter,flashlight,5800,https://github.com/flashlight/wav2letter
libvips,libvips,5600,https://github.com/libvips/libvips
GuiLite,idea4good,5500,https://github.com/idea4good/GuiLite
entt,skypjack,5400,https://github.com/skypjack/entt
DearPyGui,hoffstadt,5400,https://github.com/hoffstadt/DearPyGui
yugabyte-db,yugabyte,5300,https://github.com/yugabyte/yugabyte-db
glm,g-truc,5300,https://github.com/g-truc/glm
cpp-httplib,yhirose,5300,https://github.com/yhirose/cpp-httplib
awesome-cpp-cn,jobbole,5200,https://github.com/jobbole/awesome-cpp-cn
olive,olive-editor,5200,https://github.com/olive-editor/olive
pcsx2,PCSX2,5200,https://github.com/PCSX2/pcsx2
serving,tensorflow,5100,https://github.com/tensorflow/serving
conan,conan-io,5100,https://github.com/conan-io/conan
xenia,xenia-project,5000,https://github.com/xenia-project/xenia
Open3D,intel-isl,4800,https://github.com/intel-isl/Open3D
cppbestpractices,lefticus,4700,https://github.com/lefticus/cppbestpractices
azul,fschutt,4600,https://github.com/fschutt/azul
FAQGURU,FAQGURU,4600,https://github.com/FAQGURU/FAQGURU
algorithms_and_data_structures,mandliya,4500,https://github.com/mandliya/algorithms_and_data_structures
osrm-backend,Project-OSRM,4500,https://github.com/Project-OSRM/osrm-backend
IncludeOS,includeos,4400,https://github.com/includeos/IncludeOS
