Repository Name,Username,Stars,URL
neovim,neovim,45500,https://github.com/neovim/neovim
fzf,junegunn,37800,https://github.com/junegunn/fzf
vim,vim,24200,https://github.com/vim/vim
vim-plug,junegunn,24000,https://github.com/junegunn/vim-plug
YouCompleteMe,ycm-core,23100,https://github.com/ycm-core/YouCompleteMe
spacemacs,syl20bnr,21600,https://github.com/syl20bnr/spacemacs
awesome-cheatsheets,LeCoupa,21100,https://github.com/LeCoupa/awesome-cheatsheets
SpaceVim,SpaceVim,16900,https://github.com/SpaceVim/SpaceVim
coc.nvim,neoclide,16700,https://github.com/neoclide/coc.nvim
dracula-theme,dracula,16000,https://github.com/dracula/dracula-theme
nerdtree,preservim,15600,https://github.com/preservim/nerdtree
vim-airline,vim-airline,15300,https://github.com/vim-airline/vim-airline
vim-go,fatih,13600,https://github.com/fatih/vim-go
powerline,powerline,12700,https://github.com/powerline/powerline
vim-galore,mhinz,12100,https://github.com/mhinz/vim-galore
nnn,jarun,11800,https://github.com/jarun/nnn
oni,onivim,11500,https://github.com/onivim/oni
doom-emacs,hlissner,11400,https://github.com/hlissner/doom-emacs
ale,dense-analysis,11000,https://github.com/dense-analysis/ale
ranger,ranger,9900,https://github.com/ranger/ranger
Vim,VSCodeVim,9200,https://github.com/VSCodeVim/Vim
vnote,vnotex,8200,https://github.com/vnotex/vnote
vim-galore-zh_cn,wsdjeg,8100,https://github.com/wsdjeg/vim-galore-zh_cn
awesome-cheatsheets,skywind3000,7300,https://github.com/skywind3000/awesome-cheatsheets
kakoune,mawww,7300,https://github.com/mawww/kakoune
vim-gitgutter,airblade,7100,https://github.com/airblade/vim-gitgutter
qutebrowser,qutebrowser,7000,https://github.com/qutebrowser/qutebrowser
fzf.vim,junegunn,6900,https://github.com/junegunn/fzf.vim
vimwiki,vimwiki,6600,https://github.com/vimwiki/vimwiki
macvim,macvim-dev,6500,https://github.com/macvim-dev/macvim
Learn-Vim,iggredible,6500,https://github.com/iggredible/Learn-Vim
nyxt,atlas-engineer,6500,https://github.com/atlas-engineer/nyxt
ultisnips,SirVer,6200,https://github.com/SirVer/ultisnips
vim-easymotion,easymotion,5900,https://github.com/easymotion/vim-easymotion
ideavim,JetBrains,5800,https://github.com/JetBrains/ideavim
emmet-vim,mattn,5600,https://github.com/mattn/emmet-vim
deoplete.nvim,Shougo,5600,https://github.com/Shougo/deoplete.nvim
lightline.vim,itchyny,5600,https://github.com/itchyny/lightline.vim
dev-setup,donnemartin,5500,https://github.com/donnemartin/dev-setup
vimr,qvacua,5300,https://github.com/qvacua/vimr
tagbar,preservim,5100,https://github.com/preservim/tagbar
vim.wasm,rhysd,4800,https://github.com/rhysd/vim.wasm
vim-polyglot,sheerun,4400,https://github.com/sheerun/vim-polyglot
nerdcommenter,preservim,4300,https://github.com/preservim/nerdcommenter
fetool,nieweidong,4300,https://github.com/nieweidong/fetool
themer,mjswensen,4300,https://github.com/mjswensen/themer
vim-startify,mhinz,4200,https://github.com/mhinz/vim-startify
vim-devicons,ryanoasis,4200,https://github.com/ryanoasis/vim-devicons
LunarVim,ChristianChiarulli,4100,https://github.com/ChristianChiarulli/LunarVim
goyo.vim,junegunn,3700,https://github.com/junegunn/goyo.vim
Surfingkeys,brookhong,3600,https://github.com/brookhong/Surfingkeys
indentLine,Yggdroot,3500,https://github.com/Yggdroot/indentLine
vim-tmux-navigator,christoomey,3400,https://github.com/christoomey/vim-tmux-navigator
nb,xwmx,3400,https://github.com/xwmx/nb
vim-easy-align,junegunn,3400,https://github.com/junegunn/vim-easy-align
vimtex,lervag,3300,https://github.com/lervag/vimtex
tridactyl,tridactyl,3300,https://github.com/tridactyl/tridactyl
vim-anywhere,cknadler,3200,https://github.com/cknadler/vim-anywhere
VsVim,VsVim,3200,https://github.com/VsVim/VsVim
vimplus,chxuan,3100,https://github.com/chxuan/vimplus
helix,helix-editor,3100,https://github.com/helix-editor/helix
dein.vim,Shougo,3000,https://github.com/Shougo/dein.vim
onedark.vim,joshdick,2900,https://github.com/joshdick/onedark.vim
amp,jmacdonald,2800,https://github.com/jmacdonald/amp
sc-im,andmarti1424,2800,https://github.com/andmarti1424/sc-im
space-vim,liuchengxu,2700,https://github.com/liuchengxu/space-vim
editorconfig-vim,editorconfig,2600,https://github.com/editorconfig/editorconfig-vim
NvChad,siduck76,2600,https://github.com/siduck76/NvChad
command-t,wincent,2500,https://github.com/wincent/command-t
vim-instant-markdown,instant-markdown,2500,https://github.com/instant-markdown/vim-instant-markdown
neomake,neomake,2500,https://github.com/neomake/neomake
markdown-preview.nvim,iamcco,2400,https://github.com/iamcco/markdown-preview.nvim
codi.vim,metakirby5,2400,https://github.com/metakirby5/codi.vim
vim-sneak,justinmk,2300,https://github.com/justinmk/vim-sneak
vim-signify,mhinz,2300,https://github.com/mhinz/vim-signify
XVim2,XVimProject,2300,https://github.com/XVimProject/XVim2
vim-dispatch,tpope,2300,https://github.com/tpope/vim-dispatch
vimspector,puremourning,2300,https://github.com/puremourning/vimspector
nvim-lspconfig,neovim,2200,https://github.com/neovim/nvim-lspconfig
fzy,jhawthorn,2200,https://github.com/jhawthorn/fzy
vim-test,vim-test,2100,https://github.com/vim-test/vim-test
chromium-vim,1995eaton,2100,https://github.com/1995eaton/chromium-vim
dotfiles,nicknisi,2100,https://github.com/nicknisi/dotfiles
vim-lsp,prabirshrestha,2100,https://github.com/prabirshrestha/vim-lsp
evil,emacs-evil,2000,https://github.com/emacs-evil/evil
vscode-neovim,asvetliakov,2000,https://github.com/asvetliakov/vscode-neovim
vim-go-tutorial,fatih,2000,https://github.com/fatih/vim-go-tutorial
targets.vim,wellle,2000,https://github.com/wellle/targets.vim
denite.nvim,Shougo,2000,https://github.com/Shougo/denite.nvim
vim-autoformat,vim-autoformat,1900,https://github.com/vim-autoformat/vim-autoformat
vim-vixen,ueokande,1900,https://github.com/ueokande/vim-vixen
vimux,preservim,1900,https://github.com/preservim/vimux
vim-as-an-ide,jez,1900,https://github.com/jez/vim-as-an-ide
papercolor-theme,NLKNguyen,1900,https://github.com/NLKNguyen/papercolor-theme
vim-ruby,vim-ruby,1900,https://github.com/vim-ruby/vim-ruby
vim-bootstrap,editor-bootstrap,1800,https://github.com/editor-bootstrap/vim-bootstrap
nord-vim,arcticicestudio,1800,https://github.com/arcticicestudio/nord-vim
awesome-vim-colorschemes,rafi,1700,https://github.com/rafi/awesome-vim-colorschemes
typescript-vim,leafgarland,1700,https://github.com/leafgarland/typescript-vim
vim-one,rakr,1700,https://github.com/rakr/vim-one
vim-clap,liuchengxu,1700,https://github.com/liuchengxu/vim-clap
calendar.vim,itchyny,1600,https://github.com/itchyny/calendar.vim
LeaderF,Yggdroot,1600,https://github.com/Yggdroot/LeaderF
vim-gist,mattn,1600,https://github.com/mattn/vim-gist
vim-ctrlspace,vim-ctrlspace,1600,https://github.com/vim-ctrlspace/vim-ctrlspace
jellybeans.vim,nanotech,1600,https://github.com/nanotech/jellybeans.vim
ActualVim,lunixbochs,1500,https://github.com/lunixbochs/ActualVim
vim-win32-installer,vim,1500,https://github.com/vim/vim-win32-installer
iceberg.vim,cocopon,1500,https://github.com/cocopon/iceberg.vim
keyboard,jasonrudolph,1500,https://github.com/jasonrudolph/keyboard
vimflowy,WuTheFWasThat,1500,https://github.com/WuTheFWasThat/vimflowy
vim-which-key,liuchengxu,1400,https://github.com/liuchengxu/vim-which-key
vim-visual-multi,mg979,1400,https://github.com/mg979/vim-visual-multi
vim-table-mode,dhruvasagar,1400,https://github.com/dhruvasagar/vim-table-mode
DotFiles,wsdjeg,1400,https://github.com/wsdjeg/DotFiles
rainbow,luochen1990,1400,https://github.com/luochen1990/rainbow
asyncrun.vim,skywind3000,1400,https://github.com/skywind3000/asyncrun.vim
vim-prettier,prettier,1300,https://github.com/prettier/vim-prettier
merlin,ocaml,1300,https://github.com/ocaml/merlin
ctrlsf.vim,dyng,1300,https://github.com/dyng/ctrlsf.vim
