Repository Name,Username,Stars,URL
public-apis,public-apis,138000,https://github.com/public-apis/public-apis
httpie,httpie,51400,https://github.com/httpie/httpie
neovim,neovim,45500,https://github.com/neovim/neovim
strapi,strapi,37600,https://github.com/strapi/strapi
fastapi,tiangolo,33400,https://github.com/tiangolo/fastapi
slate,slatedocs,32900,https://github.com/slatedocs/slate
hoppscotch,hoppscotch,29900,https://github.com/hoppscotch/hoppscotch
yapi,YMFE,21600,https://github.com/YMFE/yapi
ItChat,littlecodersh,21600,https://github.com/littlecodersh/ItChat
django-rest-framework,encode,21400,https://github.com/encode/django-rest-framework
NeteaseCloudMusicApi,Binaryify,20600,https://github.com/Binaryify/NeteaseCloudMusicApi
ccxt,ccxt,20300,https://github.com/ccxt/ccxt
normalizr,paularmstrong,20300,https://github.com/paularmstrong/normalizr
security-guide-for-developers,FallibleInc,19800,https://github.com/FallibleInc/security-guide-for-developers
api-guidelines,microsoft,17300,https://github.com/microsoft/api-guidelines
insomnia,Kong,16900,https://github.com/Kong/insomnia
API-Security-Checklist,shieldfy,15800,https://github.com/shieldfy/API-Security-Checklist
learn-anything,learn-anything,13100,https://github.com/learn-anything/learn-anything
wxpy,youfou,12900,https://github.com/youfou/wxpy
jsdoc,jsdoc,12100,https://github.com/jsdoc/jsdoc
brain.js,BrainJS,12100,https://github.com/BrainJS/brain.js
directus,directus,11500,https://github.com/directus/directus
web3.js,ChainSafe,10800,https://github.com/ChainSafe/web3.js
postgraphile,graphile,10500,https://github.com/graphile/postgraphile
httpbin,postmanlabs,10000,https://github.com/postmanlabs/httpbin
chi,go-chi,9700,https://github.com/go-chi/chi
grape,ruby-grape,9300,https://github.com/ruby-grape/grape
openapi-generator,OpenAPITools,9100,https://github.com/OpenAPITools/openapi-generator
showdoc,star7th,9100,https://github.com/star7th/showdoc
zeal,zealdocs,8900,https://github.com/zealdocs/zeal
spring-boot-api-project-seed,lihengming,8800,https://github.com/lihengming/spring-boot-api-project-seed
SpaceX-API,r-spacex,8600,https://github.com/r-spacex/SpaceX-API
free-api,fangzesheng,8500,https://github.com/fangzesheng/free-api
falcon,falconry,8500,https://github.com/falconry/falcon
up,apex,8300,https://github.com/apex/up
http-prompt,httpie,8200,https://github.com/httpie/http-prompt
fine-uploader,FineUploader,8200,https://github.com/FineUploader/fine-uploader
server,bitwarden,8000,https://github.com/bitwarden/server
css.gg,astrit,7700,https://github.com/astrit/css.gg
Awesome_APIs,TonnyL,7600,https://github.com/TonnyL/Awesome_APIs
Dash-iOS,Kapeli,7000,https://github.com/Kapeli/Dash-iOS
WeixinBot,Urinx,6900,https://github.com/Urinx/WeixinBot
api-platform,api-platform,6800,https://github.com/api-platform/api-platform
go-swagger,go-swagger,6600,https://github.com/go-swagger/go-swagger
tyk,TykTechnologies,6400,https://github.com/TykTechnologies/tyk
type-graphql,MichalLytek,6400,https://github.com/MichalLytek/type-graphql
msw,mswjs,6300,https://github.com/mswjs/msw
Jackett,Jackett,6100,https://github.com/Jackett/Jackett
server,gotify,5900,https://github.com/gotify/server
translations,oldratlee,5900,https://github.com/oldratlee/translations
apisix,apache,5600,https://github.com/apache/apisix
apistar,encode,5600,https://github.com/encode/apistar
hanami,hanami,5500,https://github.com/hanami/hanami
node-telegram-bot-api,yagop,5400,https://github.com/yagop/node-telegram-bot-api
ponzu,ponzu-cms,5300,https://github.com/ponzu-cms/ponzu
nideshop,tumobi,5100,https://github.com/tumobi/nideshop
miniprogram-demo,wechat-miniprogram,5000,https://github.com/wechat-miniprogram/miniprogram-demo
graphql-dotnet,graphql-dotnet,4800,https://github.com/graphql-dotnet/graphql-dotnet
qor,qor,4800,https://github.com/qor/qor
go-gin-example,eddycjy,4500,https://github.com/eddycjy/go-gin-example
goa,goadesign,4300,https://github.com/goadesign/goa
jsonplaceholder,typicode,4300,https://github.com/typicode/jsonplaceholder
kinto,Kinto,4100,https://github.com/Kinto/kinto
graphql-php,webonyx,4100,https://github.com/webonyx/graphql-php
polr,cydrobolt,3900,https://github.com/cydrobolt/polr
cli,acode,3800,https://github.com/acode/cli
