Repository Name,Username,Stars,URL
brew,Homebrew,28500,https://github.com/Homebrew/brew
hub,github,21000,https://github.com/github/hub
homebrew-cask,Homebrew,18400,https://github.com/Homebrew/homebrew-cask
homebrew-core,Homebrew,9600,https://github.com/Homebrew/homebrew-core
goreleaser,goreleaser,8300,https://github.com/goreleaser/goreleaser
mas,mas-cli,8200,https://github.com/mas-cli/mas
Mos,Caldis,6800,https://github.com/Caldis/Mos
devilutionX,diasurgical,4600,https://github.com/diasurgical/devilutionX
dotfiles,paulirish,3800,https://github.com/paulirish/dotfiles
mac-dev-playbook,geerlingguy,3800,https://github.com/geerlingguy/mac-dev-playbook
homebrew-bundle,Homebrew,3700,https://github.com/Homebrew/homebrew-bundle
mockserver,mock-server,3300,https://github.com/mock-server/mockserver
whalebrew,whalebrew,3200,https://github.com/whalebrew/whalebrew
Luma3DS,LumaTeam,3100,https://github.com/LumaTeam/Luma3DS
brew,Linuxbrew,2600,https://github.com/Linuxbrew/brew
cointop,miguelmota,2500,https://github.com/miguelmota/cointop
Kosmos,AtlasNX,2200,https://github.com/AtlasNX/Kosmos
dotfiles,nicknisi,2100,https://github.com/nicknisi/dotfiles
homebrew-cask-fonts,Homebrew,2100,https://github.com/Homebrew/homebrew-cask-fonts
Goldleaf,XorTroll,1900,https://github.com/XorTroll/Goldleaf
homebrew-openjdk,AdoptOpenJDK,1700,https://github.com/AdoptOpenJDK/homebrew-openjdk
strap,MikeMcQuaid,1700,https://github.com/MikeMcQuaid/strap
formation,minamarkham,1600,https://github.com/minamarkham/formation
homebrew-services,Homebrew,1600,https://github.com/Homebrew/homebrew-services
AppIcon,Nonchalant,1400,https://github.com/Nonchalant/AppIcon
mac-cleanup,fwartner,1400,https://github.com/fwartner/mac-cleanup
kerl,kerl,1400,https://github.com/kerl/kerl
taskell,smallhadroncollider,1300,https://github.com/smallhadroncollider/taskell
dotfiles,driesvints,1200,https://github.com/driesvints/dotfiles
cli,bitwarden,1200,https://github.com/bitwarden/cli
install,Homebrew,1100,https://github.com/Homebrew/install
linuxbrew-core,Homebrew,1100,https://github.com/Homebrew/linuxbrew-core
homebrew-emacs-plus,d12frosted,1100,https://github.com/d12frosted/homebrew-emacs-plus
Guide_3DS,hacks-guide,1100,https://github.com/hacks-guide/Guide_3DS
goenv,syndbg,1000,https://github.com/syndbg/goenv
libnx,switchbrew,933,https://github.com/switchbrew/libnx
homebrew-cask-versions,Homebrew,916,https://github.com/Homebrew/homebrew-cask-versions
cider,msanders,856,https://github.com/msanders/cider
asimov,stevegrunwell,766,https://github.com/stevegrunwell/asimov
phpmon,nicoverbruggen,764,https://github.com/nicoverbruggen/phpmon
brew-php-switcher,philcook,764,https://github.com/philcook/brew-php-switcher
EdiZon,WerWolv,753,https://github.com/WerWolv/EdiZon
dotfiles,webpro,722,https://github.com/webpro/dotfiles
NX-Shell,joel16,677,https://github.com/joel16/NX-Shell
jarvis,ctaylo21,645,https://github.com/ctaylo21/jarvis
formulae.brew.sh,Homebrew,626,https://github.com/Homebrew/formulae.brew.sh
DeepSea,Team-Neptune,624,https://github.com/Team-Neptune/DeepSea
dark-mode,sindresorhus,583,https://github.com/sindresorhus/dark-mode
SysDVR,exelix11,576,https://github.com/exelix11/SysDVR
brewformulas.org,zedtux,566,https://github.com/zedtux/brewformulas.org
homebrew-nginx,denji,562,https://github.com/denji/homebrew-nginx
libctru,devkitPro,550,https://github.com/devkitPro/libctru
hb-appstore,fortheusers,497,https://github.com/fortheusers/hb-appstore
git-peek,Jarred-Sumner,492,https://github.com/Jarred-Sumner/git-peek
SwitchThemeInjector,exelix11,482,https://github.com/exelix11/SwitchThemeInjector
homebrew-php,shivammathur,474,https://github.com/shivammathur/homebrew-php
JKSV,J-D-K,473,https://github.com/J-D-K/JKSV
dl-engineer-guidebook,ypwhs,445,https://github.com/ypwhs/dl-engineer-guidebook
Octo,JohnEarnest,443,https://github.com/JohnEarnest/Octo
homebrew-autoupdate,Homebrew,419,https://github.com/Homebrew/homebrew-autoupdate
nxdumptool,DarkMatterCore,414,https://github.com/DarkMatterCore/nxdumptool
dotfiles,colbycheeze,388,https://github.com/colbycheeze/dotfiles
aio-switch-updater,HamletDuFromage,375,https://github.com/HamletDuFromage/aio-switch-updater
homebrew-v2ray,v2ray,372,https://github.com/v2ray/homebrew-v2ray
cave-story-md,andwn,371,https://github.com/andwn/cave-story-md
mac_os,bkuhlmann,356,https://github.com/bkuhlmann/mac_os
homebrew-osgeo4mac,OSGeo,334,https://github.com/OSGeo/homebrew-osgeo4mac
ros-install-osx,mikepurvis,329,https://github.com/mikepurvis/ros-install-osx
8bitworkshop,sehugg,323,https://github.com/sehugg/8bitworkshop
uLaunch,XorTroll,321,https://github.com/XorTroll/uLaunch
homebrew-cask-drivers,Homebrew,320,https://github.com/Homebrew/homebrew-cask-drivers
tccutil,jacobsalmela,319,https://github.com/jacobsalmela/tccutil
redisapp,jpadilla,318,https://github.com/jpadilla/redisapp
DevMyMac,adamisntdead,318,https://github.com/adamisntdead/DevMyMac
Brewlet,zkokaja,308,https://github.com/zkokaja/Brewlet
mac_os-config,bkuhlmann,308,https://github.com/bkuhlmann/mac_os-config
homebrew-avr,osx-cross,304,https://github.com/osx-cross/homebrew-avr
rust-psp,overdrivenpotato,293,https://github.com/overdrivenpotato/rust-psp
install_nodejs_and_yarn_homebrew,nijicha,287,https://github.com/nijicha/install_nodejs_and_yarn_homebrew
homebrew-zathura,zegervdv,285,https://github.com/zegervdv/homebrew-zathura
EdiZon_CheatsConfigsAndScripts,WerWolv,281,https://github.com/WerWolv/EdiZon_CheatsConfigsAndScripts
iterm-fish-fisher-osx,ghaiklor,275,https://github.com/ghaiklor/iterm-fish-fisher-osx
