Repository Name,Username,Stars,URL
erpnext,frappe,9100,https://github.com/frappe/erpnext
kanboard,kanboard,6000,https://github.com/kanboard/kanboard
openproject,opf,5000,https://github.com/opf/openproject
focalboard,mattermost,4100,https://github.com/mattermost/focalboard
taiga-front,taigaio,3500,https://github.com/taigaio/taiga-front
projectile,bbatsov,3300,https://github.com/bbatsov/projectile
taskcafe,JordanKnott,2500,https://github.com/JordanKnott/taskcafe
bolt,boltpkg,2100,https://github.com/boltpkg/bolt
dephell,dephell,1700,https://github.com/dephell/dephell
goodwork,iluminar,1600,https://github.com/iluminar/goodwork
pearProject,a54552239,1600,https://github.com/a54552239/pearProject
CommunityServer,ONLYOFFICE,1500,https://github.com/ONLYOFFICE/CommunityServer
organice,200ok-ch,1500,https://github.com/200ok-ch/organice
actionview,lxerxa,1400,https://github.com/lxerxa/actionview
awesome-engineering-management,ixaxaar,1100,https://github.com/ixaxaar/awesome-engineering-management
92five,chintanbanugaria,1100,https://github.com/chintanbanugaria/92five
vscode-project-manager,alefragnani,1100,https://github.com/alefragnani/vscode-project-manager
mycollab,MyCollab,1100,https://github.com/MyCollab/mycollab
toodles,aviaviavi,961,https://github.com/aviaviavi/toodles
gantt-elastic,neuronetio,910,https://github.com/neuronetio/gantt-elastic
masterlab,gopeak,901,https://github.com/gopeak/masterlab
leantime,Leantime,795,https://github.com/Leantime/leantime
zentaopms,easysoft,753,https://github.com/easysoft/zentaopms
gantt,DHTMLX,701,https://github.com/DHTMLX/gantt
Projeny,modesttree,659,https://github.com/modesttree/Projeny
JavaScriptEnhancements,pichillilorenzo,604,https://github.com/pichillilorenzo/JavaScriptEnhancements
rt,bestpractical,593,https://github.com/bestpractical/rt
workflowr,jdblischak,589,https://github.com/jdblischak/workflowr
ganttproject,bardsoftware,568,https://github.com/bardsoftware/ganttproject
lavagna,digitalfondue,536,https://github.com/digitalfondue/lavagna
awesome-engineering-team-management,kdeldycke,535,https://github.com/kdeldycke/awesome-engineering-team-management
