Repository Name,Username,Stars,URL
neovim,neovim,45500,https://github.com/neovim/neovim
lede,coolsnowwolf,17000,https://github.com/coolsnowwolf/lede
cocos2d-x,cocos2d,15300,https://github.com/cocos2d/cocos2d-x
ip2region,lionsoul2014,9400,https://github.com/lionsoul2014/ip2region
annoy,spotify,8700,https://github.com/spotify/annoy
TabNine,codota,8400,https://github.com/codota/TabNine
hammerspoon,Hammerspoon,8000,https://github.com/Hammerspoon/hammerspoon
awesomo,lk-geimfari,8000,https://github.com/lk-geimfari/awesomo
xLua,Tencent,6800,https://github.com/Tencent/xLua
nodemcu-firmware,nodemcu,6700,https://github.com/nodemcu/nodemcu-firmware
minetest,minetest,6100,https://github.com/minetest/minetest
apisix,apache,5600,https://github.com/apache/apisix
nmap,nmap,5300,https://github.com/nmap/nmap
conky,brndnmtthws,4800,https://github.com/brndnmtthws/conky
gopher-lua,yuin,4200,https://github.com/yuin/gopher-lua
LunarVim,ChristianChiarulli,4100,https://github.com/ChristianChiarulli/LunarVim
awesome,awesomeWM,4000,https://github.com/awesomeWM/awesome
sysbench,akopytov,4000,https://github.com/akopytov/sysbench
cuberite,cuberite,3800,https://github.com/cuberite/cuberite
xmake,xmake-io,3700,https://github.com/xmake-io/xmake
vis,martanne,3600,https://github.com/martanne/vis
Urho3D,urho3d,3600,https://github.com/urho3d/Urho3D
LuaViewSDK,alibaba,3500,https://github.com/alibaba/LuaViewSDK
luvit,luvit,3400,https://github.com/luvit/luvit
blog,a327ex,3000,https://github.com/a327ex/blog
nginx-resources,fcambus,2900,https://github.com/fcambus/nginx-resources
Artificial-Intelligence-Deep-Learning-Machine-Learning-Tutorials,TarrySingh,2800,https://github.com/TarrySingh/Artificial-Intelligence-Deep-Learning-Machine-Learning-Tutorials
WickedEngine,turanszkij,2800,https://github.com/turanszkij/WickedEngine
tarantool,tarantool,2700,https://github.com/tarantool/tarantool
telescope.nvim,nvim-telescope,2600,https://github.com/nvim-telescope/telescope.nvim
moonscript,leafo,2600,https://github.com/leafo/moonscript
sol2,ThePhD,2600,https://github.com/ThePhD/sol2
klipse,viebel,2600,https://github.com/viebel/klipse
NvChad,siduck76,2600,https://github.com/siduck76/NvChad
lapis,leafo,2600,https://github.com/leafo/lapis
PlotJuggler,facontidavide,2400,https://github.com/facontidavide/PlotJuggler
OpenNMT,OpenNMT,2300,https://github.com/OpenNMT/OpenNMT
awesome-copycats,lcpz,2300,https://github.com/lcpz/awesome-copycats
weechat,weechat,2200,https://github.com/weechat/weechat
luarocks,luarocks,2200,https://github.com/luarocks/luarocks
ZeroBraneStudio,pkulchenko,2200,https://github.com/pkulchenko/ZeroBraneStudio
spring,spring,2200,https://github.com/spring/spring
way-cooler,way-cooler,2100,https://github.com/way-cooler/way-cooler
vulscan,scipag,2100,https://github.com/scipag/vulscan
premake-core,premake,2100,https://github.com/premake/premake-core
awesome-love2d,love2d-community,2100,https://github.com/love2d-community/awesome-love2d
KomodoEdit,Komodo,2000,https://github.com/Komodo/KomodoEdit
awesome-PICO-8,pico-8,1900,https://github.com/pico-8/awesome-PICO-8
algernon,xyproto,1800,https://github.com/xyproto/algernon
lua-resty-auto-ssl,auto-ssl,1700,https://github.com/auto-ssl/lua-resty-auto-ssl
api-umbrella,NREL,1700,https://github.com/NREL/api-umbrella
ardb,yinqiwen,1700,https://github.com/yinqiwen/ardb
qipai_algorithm,yuanfengyun,1700,https://github.com/yuanfengyun/qipai_algorithm
love,love2d,1600,https://github.com/love2d/love
luafun,luafun,1600,https://github.com/luafun/luafun
MadelineProto,danog,1600,https://github.com/danog/MadelineProto
luakit,luakit,1600,https://github.com/luakit/luakit
lua-resty-http,ledgetech,1600,https://github.com/ledgetech/lua-resty-http
corona,coronalabs,1500,https://github.com/coronalabs/corona
nodebook,netgusto,1500,https://github.com/netgusto/nodebook
luacheck,mpeterv,1400,https://github.com/mpeterv/luacheck
rspamd,rspamd,1400,https://github.com/rspamd/rspamd
MLN,momotech,1400,https://github.com/momotech/MLN
NLua,NLua,1400,https://github.com/NLua/NLua
crown,dbartolini,1400,https://github.com/dbartolini/crown
tabtoy,davyxu,1400,https://github.com/davyxu/tabtoy
stepmania,stepmania,1400,https://github.com/stepmania/stepmania
nvim-lua-guide,nanotee,1400,https://github.com/nanotee/nvim-lua-guide
IntelliJ-EmmyLua,EmmyLua,1400,https://github.com/EmmyLua/IntelliJ-EmmyLua
Fennel,bakpakin,1300,https://github.com/bakpakin/Fennel
Penlight,lunarmodules,1300,https://github.com/lunarmodules/Penlight
KSFramework,mr-kelly,1300,https://github.com/mr-kelly/KSFramework
sluaunreal,Tencent,1300,https://github.com/Tencent/sluaunreal
Miku-LuaProfiler,leinlin,1200,https://github.com/leinlin/Miku-LuaProfiler
wxFormBuilder,wxFormBuilder,1200,https://github.com/wxFormBuilder/wxFormBuilder
TscanCode,Tencent,1200,https://github.com/Tencent/TscanCode
BYTEPATH,a327ex,1200,https://github.com/a327ex/BYTEPATH
OpenComputers,MightyPirates,1200,https://github.com/MightyPirates/OpenComputers
pelagia,surparallel,1100,https://github.com/surparallel/pelagia
