Repository Name,Username,Stars,URL
nerd-fonts,ryanoasis,28900,https://github.com/ryanoasis/nerd-fonts
awesome-stock-resources,neutraltone,9900,https://github.com/neutraltone/awesome-stock-resources
eva-icons,akveo,7900,https://github.com/akveo/eva-icons
Android-Iconics,mikepenz,4800,https://github.com/mikepenz/Android-Iconics
fontmin,ecomfe,4200,https://github.com/ecomfe/fontmin
RemixIcon,Remix-Design,3500,https://github.com/Remix-Design/RemixIcon
rplibs,refscn,2500,https://github.com/refscn/rplibs
sketch-iconfont,keremciu,2000,https://github.com/keremciu/sketch-iconfont
coreui-icons,coreui,1800,https://github.com/coreui/coreui-icons
Iconic,home-assistant,1600,https://github.com/home-assistant/Iconic
boxicons,atisawd,1200,https://github.com/atisawd/boxicons
GanK,dongjunkun,1200,https://github.com/dongjunkun/GanK
Fork-Awesome,ForkAwesome,914,https://github.com/ForkAwesome/Fork-Awesome
svg-icon,leungwensen,894,https://github.com/leungwensen/svg-icon
awesome-fonts,brabadu,847,https://github.com/brabadu/awesome-fonts
openwebicons,pfefferle,838,https://github.com/pfefferle/openwebicons
awesome-icons,vkarampinis,827,https://github.com/vkarampinis/awesome-icons
phosphor-home,phosphor-icons,804,https://github.com/phosphor-icons/phosphor-home
academicons,jpswalsh,572,https://github.com/jpswalsh/academicons
IconFontCppHeaders,juliettef,549,https://github.com/juliettef/IconFontCppHeaders
glyphsearch,thomaspark,452,https://github.com/thomaspark/glyphsearch
fontisto,kenangundogan,440,https://github.com/kenangundogan/fontisto
iconpark,lvwzhen,354,https://github.com/lvwzhen/iconpark
bootstrap-iconpicker,victor-valencia,349,https://github.com/victor-valencia/bootstrap-iconpicker
prestashop-icon-font,PrestaShop,314,https://github.com/PrestaShop/prestashop-icon-font
keyrune,andrewgioia,291,https://github.com/andrewgioia/keyrune
font-logos,lukas-w,277,https://github.com/lukas-w/font-logos
rubik,ccforward,276,https://github.com/ccforward/rubik
EFIconFont,XiangWuShuo,203,https://github.com/XiangWuShuo/EFIconFont
awesome-iconjar,pluwen,197,https://github.com/pluwen/awesome-iconjar
icon-font-to-png,Pythonity,189,https://github.com/Pythonity/icon-font-to-png
IconFont,JohnWong,180,https://github.com/JohnWong/IconFont
svgtofont,jaywcjlove,173,https://github.com/jaywcjlove/svgtofont
framework7-icons,framework7io,162,https://github.com/framework7io/framework7-icons
webfonts-loader,jeerbl,159,https://github.com/jeerbl/webfonts-loader
phosphor-react,phosphor-icons,140,https://github.com/phosphor-icons/phosphor-react
redmine-theme-minimalflat2,akabekobeko,129,https://github.com/akabekobeko/redmine-theme-minimalflat2
vectoriconsroundup,tagliala,127,https://github.com/tagliala/vectoriconsroundup
MaterialFancyButtons,joielechong,111,https://github.com/joielechong/MaterialFancyButtons
DevOpicons,file-icons,110,https://github.com/file-icons/DevOpicons
icons,uiwjs,104,https://github.com/uiwjs/icons
iconfont-webpack-plugin,jantimon,102,https://github.com/jantimon/iconfont-webpack-plugin
android-art,hwding,95,https://github.com/hwding/android-art
