Repository Name,Username,Stars,URL
infinite-scroll,metafizzy,6900,https://github.com/metafizzy/infinite-scroll
Blog,ljianshu,6600,https://github.com/ljianshu/Blog
unfetch,developit,5100,https://github.com/developit/unfetch
form,jquery-form,5100,https://github.com/jquery-form/form
elFinder,Studio-42,4100,https://github.com/Studio-42/elFinder
tabulator,olifolkerd,4000,https://github.com/olifolkerd/tabulator
reqwest,ded,2900,https://github.com/ded/reqwest
learn-to-send-email-via-google-script-html-no-server,dwyl,2600,https://github.com/dwyl/learn-to-send-email-via-google-script-html-no-server
bliss,LeaVerou,2300,https://github.com/LeaVerou/bliss
wretch,elbywan,2200,https://github.com/elbywan/wretch
featherlight,noelboss,2000,https://github.com/noelboss/featherlight
jquery-confirm,craftpip,1700,https://github.com/craftpip/jquery-confirm
Ajax-hook,wendux,1700,https://github.com/wendux/Ajax-hook
sente,ptaoussanis,1600,https://github.com/ptaoussanis/sente
Enterprise,joaomilho,1500,https://github.com/joaomilho/Enterprise
web-interview,yisainan,1500,https://github.com/yisainan/web-interview
tracy,nette,1400,https://github.com/nette/tracy
jeeplatform,u014427391,1300,https://github.com/u014427391/jeeplatform
pjax,MoOx,1200,https://github.com/MoOx/pjax
css-spinner,loadingio,1100,https://github.com/loadingio/css-spinner
eCommerce,codingforentrepreneurs,1100,https://github.com/codingforentrepreneurs/eCommerce
uploader,danielm,1100,https://github.com/danielm/uploader
render_async,renderedtext,1000,https://github.com/renderedtext/render_async
saber,swlib,908,https://github.com/swlib/saber
infinite-ajax-scroll,webcreate,823,https://github.com/webcreate/infinite-ajax-scroll
opensource-socialnetwork,opensource-socialnetwork,755,https://github.com/opensource-socialnetwork/opensource-socialnetwork
RestClient,proyecto26,753,https://github.com/proyecto26/RestClient
rapid.js,rapidjs,706,https://github.com/rapidjs/rapid.js
ssm-BookAppointment,ni-ze,685,https://github.com/ni-ze/ssm-BookAppointment
JavaScriptStudy,csxiaoyaojianxian,546,https://github.com/csxiaoyaojianxian/JavaScriptStudy
atomic,cferdinandi,530,https://github.com/cferdinandi/atomic
KKJSBridge,karosLi,501,https://github.com/karosLi/KKJSBridge
bunny,Mevrael,477,https://github.com/Mevrael/bunny
web,Humsen,444,https://github.com/Humsen/web
sms-ssm,GoogTech,381,https://github.com/GoogTech/sms-ssm
resource-loader,englercj,380,https://github.com/englercj/resource-loader
jsgantt-improved,jsGanttImproved,343,https://github.com/jsGanttImproved/jsgantt-improved
redux-requests,klis87,340,https://github.com/klis87/redux-requests
loading-bar,loadingio,323,https://github.com/loadingio/loading-bar
django-ajax,yceruto,316,https://github.com/yceruto/django-ajax
AjaxFileUpload,davgothic,290,https://github.com/davgothic/AjaxFileUpload
mappersmith,tulios,289,https://github.com/tulios/mappersmith
django-bootstrap-modal-forms,trco,270,https://github.com/trco/django-bootstrap-modal-forms
thwack,donavon,269,https://github.com/donavon/thwack
ajax,GerryIsWarrior,267,https://github.com/GerryIsWarrior/ajax
ajax-live-search,iranianpep,239,https://github.com/iranianpep/ajax-live-search
bbs-ssm,maliangnansheng,234,https://github.com/maliangnansheng/bbs-ssm
ajax-form,rnicholus,232,https://github.com/rnicholus/ajax-form
vue2-autocomplete,BosNaufal,228,https://github.com/BosNaufal/vue2-autocomplete
axios-tutorial,ronffy,224,https://github.com/ronffy/axios-tutorial
ember-ajax,ember-cli,217,https://github.com/ember-cli/ember-ajax
zl-fetch,zellwk,192,https://github.com/zellwk/zl-fetch
Fable.Remoting,Zaid-Ajaj,187,https://github.com/Zaid-Ajaj/Fable.Remoting
bs_grid,pontikis,184,https://github.com/pontikis/bs_grid
lajax,eshengsky,183,https://github.com/eshengsky/lajax
AJAX-Movie-Recommendation-System-with-Sentiment-Analysis,kishan0725,174,https://github.com/kishan0725/AJAX-Movie-Recommendation-System-with-Sentiment-Analysis
J2Team-Community,J2TeamNNL,172,https://github.com/J2TeamNNL/J2Team-Community
react-selectrix,stratos-vetsos,166,https://github.com/stratos-vetsos/react-selectrix
django-crud-ajax-login-register-fileupload,gowthamand,154,https://github.com/gowthamand/django-crud-ajax-login-register-fileupload
KLiK-SocialMediaWebsite,msaad1999,153,https://github.com/msaad1999/KLiK-SocialMediaWebsite
nette.ajax.js,vojtech-dobes,151,https://github.com/vojtech-dobes/nette.ajax.js
jquery.initialize,pie6k,150,https://github.com/pie6k/jquery.initialize
tsrpc,k8w,146,https://github.com/k8w/tsrpc
DotnetDesk,go2ismail,143,https://github.com/go2ismail/DotnetDesk
Fitted,JBlaak,140,https://github.com/JBlaak/Fitted
Laravel-5.3-and-Vue-js-2.0-social-network,bahdcoder,139,https://github.com/bahdcoder/Laravel-5.3-and-Vue-js-2.0-social-network
webapiclientgen,zijianhuang,135,https://github.com/zijianhuang/webapiclientgen
NToastNotify,nabinked,133,https://github.com/nabinked/NToastNotify
jquery-pjax,yiisoft,131,https://github.com/yiisoft/jquery-pjax
fileuploader,innostudio,125,https://github.com/innostudio/fileuploader
vue-api-request,ftgibran,123,https://github.com/ftgibran/vue-api-request
better-mock,lavyun,123,https://github.com/lavyun/better-mock
yii2fullcalendar,philippfrenzel,122,https://github.com/philippfrenzel/yii2fullcalendar
ajax-panel,ryantxu,121,https://github.com/ryantxu/ajax-panel
vue2-bootstrap-table,jbaysolutions,121,https://github.com/jbaysolutions/vue2-bootstrap-table
PixelWave,vin-ni,118,https://github.com/vin-ni/PixelWave
nukeviet,nukeviet,117,https://github.com/nukeviet/nukeviet
fetch-plus,RickWong,117,https://github.com/RickWong/fetch-plus
laravel-like-comment,risul3,105,https://github.com/risul3/laravel-like-comment
goserver,ecdiy,104,https://github.com/ecdiy/goserver
stock-management-system,haxxorsid,104,https://github.com/haxxorsid/stock-management-system
jquery.schedule,ateliee,102,https://github.com/ateliee/jquery.schedule
formchimp,fabioquarantini,100,https://github.com/fabioquarantini/formchimp
Kitabe,Praful932,100,https://github.com/Praful932/Kitabe
bPage,TerryZ,96,https://github.com/TerryZ/bPage
faux-jax,algolia,96,https://github.com/algolia/faux-jax
searchwp-live-ajax-search,jchristopher,95,https://github.com/jchristopher/searchwp-live-ajax-search
AjaxDemo,xwjie,92,https://github.com/xwjie/AjaxDemo
Naja,jiripudil,91,https://github.com/jiripudil/Naja
MyDailyLearn,sajibcse68,91,https://github.com/sajibcse68/MyDailyLearn
Ajax-Contact-Form,pinceladasdaweb,88,https://github.com/pinceladasdaweb/Ajax-Contact-Form
reixs,reixs,88,https://github.com/reixs/reixs
vue-bootstrap-table,jbaysolutions,87,https://github.com/jbaysolutions/vue-bootstrap-table
Ajaxinate,Elkfox,87,https://github.com/Elkfox/Ajaxinate
php-notifications,shahroznawaz,86,https://github.com/shahroznawaz/php-notifications
activeadmin-ajax_filter,holyketzer,82,https://github.com/holyketzer/activeadmin-ajax_filter
GDMS-DeviceManagementSystem,manier13579,81,https://github.com/manier13579/GDMS-DeviceManagementSystem
guides,justsml,80,https://github.com/justsml/guides
sms,GoogTech,79,https://github.com/GoogTech/sms
redmine_issue_dynamic_edit,Ilogeek,78,https://github.com/Ilogeek/redmine_issue_dynamic_edit
yii2-notification-wrapper,loveorigami,77,https://github.com/loveorigami/yii2-notification-wrapper
Tag-Handler,ioncache,77,https://github.com/ioncache/Tag-Handler
Tokenize2,dragonofmercy,75,https://github.com/dragonofmercy/Tokenize2
Student-Management-System,amirhamza05,75,https://github.com/amirhamza05/Student-Management-System
easyUpload.js,funnyque,75,https://github.com/funnyque/easyUpload.js
si-uks-v0.2,akbardev94,72,https://github.com/akbardev94/si-uks-v0.2
Django-Chart.js,codingforentrepreneurs,71,https://github.com/codingforentrepreneurs/Django-Chart.js
Ajax-CRUD-example-in-laravel,avinashn,68,https://github.com/avinashn/Ajax-CRUD-example-in-laravel
Hydroponics,kylelobo,67,https://github.com/kylelobo/Hydroponics
Online-Appointment-Booking-System,girish03,65,https://github.com/girish03/Online-Appointment-Booking-System
yan-demo,micyo202,64,https://github.com/micyo202/yan-demo
miniAjax,WeideMo,63,https://github.com/WeideMo/miniAjax
typoscript_rendering,helhum,63,https://github.com/helhum/typoscript_rendering
PHP-Login-System,KalobTaulien,63,https://github.com/KalobTaulien/PHP-Login-System
rjax,ppjjzz,63,https://github.com/ppjjzz/rjax
Fable.SimpleHttp,Zaid-Ajaj,60,https://github.com/Zaid-Ajaj/Fable.SimpleHttp
ByteWalk,shubham1710,59,https://github.com/shubham1710/ByteWalk
jquery-ajax-cache,WQTeam,58,https://github.com/WQTeam/jquery-ajax-cache
rebirth-http,NG-ZORRO,58,https://github.com/NG-ZORRO/rebirth-http
jq-ajax-progress,likerRr,57,https://github.com/likerRr/jq-ajax-progress
