Repository Name,Username,Stars,URL
amp,amphp,3300,https://github.com/amphp/amp
MadelineProto,danog,1600,https://github.com/danog/MadelineProto
http-server,amphp,1100,https://github.com/amphp/http-server
telegram-api,unreal4u,656,https://github.com/unreal4u/telegram-api
http-client,amphp,570,https://github.com/amphp/http-client
parallel,amphp,499,https://github.com/amphp/parallel
service-bus,php-service-bus,295,https://github.com/php-service-bus/service-bus
mysql,amphp,240,https://github.com/amphp/mysql
byte-stream,amphp,231,https://github.com/amphp/byte-stream
parallel-functions,amphp,190,https://github.com/amphp/parallel-functions
process,amphp,133,https://github.com/amphp/process
socket,amphp,131,https://github.com/amphp/socket
redis,amphp,114,https://github.com/amphp/redis
acme,kelunik,103,https://github.com/kelunik/acme
mailgrab,PeeHaa,92,https://github.com/PeeHaa/mailgrab
dns,amphp,91,https://github.com/amphp/dns
websocket-client,amphp,88,https://github.com/amphp/websocket-client
sync,amphp,75,https://github.com/amphp/sync
asynit,jolicode,67,https://github.com/jolicode/asynit
websocket-server,amphp,65,https://github.com/amphp/websocket-server
postgres,amphp,57,https://github.com/amphp/postgres
beanstalk,amphp,54,https://github.com/amphp/beanstalk
file,amphp,54,https://github.com/amphp/file
cache,amphp,53,https://github.com/amphp/cache
hpack,amphp,48,https://github.com/amphp/hpack
windows-registry,amphp,49,https://github.com/amphp/windows-registry
serialization,amphp,45,https://github.com/amphp/serialization
ridge,phpinnacle,41,https://github.com/phpinnacle/ridge
Jeeves,Room-11,41,https://github.com/Room-11/Jeeves
aerys,amphp,40,https://github.com/amphp/aerys
cluster,amphp,37,https://github.com/amphp/cluster
getting-started,amphp,29,https://github.com/amphp/getting-started
gitamp,ekinhbayar,28,https://github.com/ekinhbayar/gitamp
ssh,amphp,27,https://github.com/amphp/ssh
wind-framework,wind-framework,26,https://github.com/wind-framework/wind-framework
http-server-router,amphp,24,https://github.com/amphp/http-server-router
esb,webgriffe,24,https://github.com/webgriffe/esb
amphp.github.io,amphp,21,https://github.com/amphp/amphp.github.io
log,amphp,20,https://github.com/amphp/log
artax,amphp,19,https://github.com/amphp/artax
demo-chat,kelunik,18,https://github.com/kelunik/demo-chat
react-adapter,amphp,16,https://github.com/amphp/react-adapter
streaming-json,kelunik,16,https://github.com/kelunik/streaming-json
http-server-session,amphp,15,https://github.com/amphp/http-server-session
http-server-static-content,amphp,15,https://github.com/amphp/http-server-static-content
phpunit-util,amphp,14,https://github.com/amphp/phpunit-util
retry,kelunik,14,https://github.com/kelunik/retry
websocket,amphp,13,https://github.com/amphp/websocket
MadelineProtoPluginSystem,realGuys,13,https://github.com/realGuys/MadelineProtoPluginSystem
loop,amphp,12,https://github.com/amphp/loop
aerys-reverse,amphp,12,https://github.com/amphp/aerys-reverse
uploadgram-v1,ShiSHcat,11,https://github.com/ShiSHcat/uploadgram-v1
sql,amphp,11,https://github.com/amphp/sql
core,labrador-kennel,10,https://github.com/labrador-kennel/core
amphp-arduino,kelunik,10,https://github.com/kelunik/amphp-arduino
link-check,kelunik,10,https://github.com/kelunik/link-check
http-server-form-parser,amphp,10,https://github.com/amphp/http-server-form-parser
aerys-benchmark,dbalabka,10,https://github.com/dbalabka/aerys-benchmark
rate-limit,kelunik,9,https://github.com/kelunik/rate-limit
mellon,kelunik,9,https://github.com/kelunik/mellon
yii2-queue,Mirocow,8,https://github.com/Mirocow/yii2-queue
ShiSHtransfer,ShiSHcat,7,https://github.com/ShiSHcat/ShiSHtransfer
cassis,phpinnacle,7,https://github.com/phpinnacle/cassis
AsyncTwitter,PeeHaa,6,https://github.com/PeeHaa/AsyncTwitter
asenkron-php-demo,hdogan,6,https://github.com/hdogan/asenkron-php-demo
redis-mutex,kelunik,6,https://github.com/kelunik/redis-mutex
amp-mercure-publisher,eislambey,5,https://github.com/eislambey/amp-mercure-publisher
websocket-commands,cspray,5,https://github.com/cspray/websocket-commands
async-virus-scan,PeeHaa,5,https://github.com/PeeHaa/async-virus-scan
http-client-cache,amphp,5,https://github.com/amphp/http-client-cache
awsyncronic,noerosell,5,https://github.com/noerosell/awsyncronic
react-stream-adapter,amphp,4,https://github.com/amphp/react-stream-adapter
Validation,HarmonyIO,4,https://github.com/HarmonyIO/Validation
docker-amphp-php,spacetab-io,3,https://github.com/spacetab-io/docker-amphp-php
dag,dbalabka,3,https://github.com/dbalabka/dag
oauth,kelunik,3,https://github.com/kelunik/oauth
async,logicalsteps,3,https://github.com/logicalsteps/async
railway-fbp,darkwood-fr,3,https://github.com/darkwood-fr/railway-fbp
amphp-mqtt,markkimsal,3,https://github.com/markkimsal/amphp-mqtt
rpc-demo,kelunik,3,https://github.com/kelunik/rpc-demo
wkhtmltopdf-php,spacetab-io,3,https://github.com/spacetab-io/wkhtmltopdf-php
http-proxy,xtrime-ru,3,https://github.com/xtrime-ru/http-proxy
php-cs-fixer-config,amphp,3,https://github.com/amphp/php-cs-fixer-config
converser,withinboredom,2,https://github.com/withinboredom/converser
async-chatter-bot,PeeHaa,2,https://github.com/PeeHaa/async-chatter-bot
