Repository Name,Username,Stars,URL
free-programming-books-zh_CN,justjavac,81300,https://github.com/justjavac/free-programming-books-zh_CN
Alamofire,Alamofire,36000,https://github.com/Alamofire/Alamofire
ShadowsocksX-NG,shadowsocks,29600,https://github.com/shadowsocks/ShadowsocksX-NG
gold-miner,xitu,29200,https://github.com/xitu/gold-miner
open-source-ios-apps,dkhamsing,27700,https://github.com/dkhamsing/open-source-ios-apps
iina,iina,27400,https://github.com/iina/iina
open-source-mac-os-apps,serhii-londar,26400,https://github.com/serhii-londar/open-source-mac-os-apps
swift-algorithm-club,raywenderlich,25100,https://github.com/raywenderlich/swift-algorithm-club
SDWebImage,SDWebImage,23600,https://github.com/SDWebImage/SDWebImage
awesome-swift,matteocrippa,20900,https://github.com/matteocrippa/awesome-swift
SwiftyJSON,SwiftyJSON,20700,https://github.com/SwiftyJSON/SwiftyJSON
vapor,vapor,20500,https://github.com/vapor/vapor
RxSwift,ReactiveX,20300,https://github.com/ReactiveX/RxSwift
Hero,HeroTransitions,20200,https://github.com/HeroTransitions/Hero
ReactiveCocoa,ReactiveCocoa,20000,https://github.com/ReactiveCocoa/ReactiveCocoa
Kingfisher,onevcat,18600,https://github.com/onevcat/Kingfisher
SnapKit,SnapKit,17700,https://github.com/SnapKit/SnapKit
SwiftGuide,ipader,15500,https://github.com/ipader/SwiftGuide
IQKeyboardManager,hackiftekhar,15100,https://github.com/hackiftekhar/IQKeyboardManager
realm-cocoa,realm,14500,https://github.com/realm/realm-cocoa
Carthage,Carthage,14400,https://github.com/Carthage/Carthage
Perfect,PerfectlySoft,13900,https://github.com/PerfectlySoft/Perfect
PromiseKit,mxcl,13500,https://github.com/mxcl/PromiseKit
CocoaPods,CocoaPods,13300,https://github.com/CocoaPods/CocoaPods
Moya,Moya,13200,https://github.com/Moya/Moya
MMKV,Tencent,12900,https://github.com/Tencent/MMKV
Design-Patterns-In-Swift,ochococo,12800,https://github.com/ochococo/Design-Patterns-In-Swift
CocoaLumberjack,CocoaLumberjack,12400,https://github.com/CocoaLumberjack/CocoaLumberjack
Material,CosmicMind,11800,https://github.com/CosmicMind/Material
Eureka,xmartlabs,11200,https://github.com/xmartlabs/Eureka
animated-tab-bar,Ramotion,10800,https://github.com/Ramotion/animated-tab-bar
firefox-ios,mozilla-mobile,10400,https://github.com/mozilla-mobile/firefox-ios
SkeletonView,Juanpe,10300,https://github.com/Juanpe/SkeletonView
ios-good-practices,futurice,10300,https://github.com/futurice/ios-good-practices
antlr4,antlr,10300,https://github.com/antlr/antlr4
folding-cell,Ramotion,10000,https://github.com/Ramotion/folding-cell
SwifterSwift,SwifterSwift,9900,https://github.com/SwifterSwift/SwifterSwift
NVActivityIndicatorView,ninjaprox,9900,https://github.com/ninjaprox/NVActivityIndicatorView
FSCalendar,WenchaoD,9600,https://github.com/WenchaoD/FSCalendar
Halfrost-Field,halfrost,9200,https://github.com/halfrost/Halfrost-Field
Quick,Quick,9200,https://github.com/Quick/Quick
compiler-explorer,compiler-explorer,9000,https://github.com/compiler-explorer/compiler-explorer
CryptoSwift,krzyzanowskim,8600,https://github.com/krzyzanowskim/CryptoSwift
IBAnimatable,IBAnimatable,8500,https://github.com/IBAnimatable/IBAnimatable
AudioKit,AudioKit,8500,https://github.com/AudioKit/AudioKit
TabNine,codota,8400,https://github.com/codota/TabNine
Aspects,steipete,8200,https://github.com/steipete/Aspects
R.swift,mac-cain13,8100,https://github.com/mac-cain13/R.swift
WWDC,insidegui,8100,https://github.com/insidegui/WWDC
mal,kanaka,8000,https://github.com/kanaka/mal
analyze,draveness,7800,https://github.com/draveness/analyze
ios-oss,kickstarter,7700,https://github.com/kickstarter/ios-oss
SQLite.swift,stephencelis,7700,https://github.com/stephencelis/SQLite.swift
Kitura,Kitura,7500,https://github.com/Kitura/Kitura
SwiftGen,SwiftGen,7200,https://github.com/SwiftGen/SwiftGen
