Repository Name,Username,Stars,URL
transformers,huggingface,48500,https://github.com/huggingface/transformers
AiLearning,apachecn,30300,https://github.com/apachecn/AiLearning
bert,google-research,28500,https://github.com/google-research/bert
HanLP,hankcs,23200,https://github.com/hankcs/HanLP
spaCy,explosion,20900,https://github.com/explosion/spaCy
lectures,oxford-cs-deepnlp-2017,15000,https://github.com/oxford-cs-deepnlp-2017/lectures
Virgilio,virgili0,13100,https://github.com/virgili0/Virgilio
gensim,RaRe-Technologies,12200,https://github.com/RaRe-Technologies/gensim
awesome-nlp,keon,12100,https://github.com/keon/awesome-nlp
Awesome-pytorch-list,bharathgs,12000,https://github.com/bharathgs/Awesome-pytorch-list
rasa,RasaHQ,11700,https://github.com/RasaHQ/rasa
flair,flairNLP,10600,https://github.com/flairNLP/flair
allennlp,allenai,10300,https://github.com/allenai/allennlp
stanford-tensorflow-tutorials,chiphuyen,10000,https://github.com/chiphuyen/stanford-tensorflow-tutorials
nltk,nltk,10000,https://github.com/nltk/nltk
compromise,spencermountain,9900,https://github.com/spencermountain/compromise
ML-NLP,NLP-LOVE,9500,https://github.com/NLP-LOVE/ML-NLP
bert-as-service,hanxiao,9400,https://github.com/hanxiao/bert-as-service
botpress,botpress,9300,https://github.com/botpress/botpress
nlp-tutorial,graykode,9000,https://github.com/graykode/nlp-tutorial
datasets,huggingface,8600,https://github.com/huggingface/datasets
CoreNLP,stanfordnlp,8100,https://github.com/stanfordnlp/CoreNLP
TextBlob,sloria,7700,https://github.com/sloria/TextBlob
jina,jina-ai,7600,https://github.com/jina-ai/jina
text_classification,brightmart,7000,https://github.com/brightmart/text_classification
PaddleHub,PaddlePaddle,6700,https://github.com/PaddlePaddle/PaddleHub
Awesome-Chinese-NLP,crownpku,6400,https://github.com/crownpku/Awesome-Chinese-NLP
nlp_chinese_corpus,brightmart,6300,https://github.com/brightmart/nlp_chinese_corpus
TensorFlow-2.x-Tutorials,dragen1860,6000,https://github.com/dragen1860/TensorFlow-2.x-Tutorials
ansj_seg,NLPchina,5900,https://github.com/NLPchina/ansj_seg
tensorflow_cookbook,nfmcclure,5900,https://github.com/nfmcclure/tensorflow_cookbook
xlnet,zihangdai,5700,https://github.com/zihangdai/xlnet
Chinese-BERT-wwm,ymcui,5600,https://github.com/ymcui/Chinese-BERT-wwm
nlp-recipes,microsoft,5600,https://github.com/microsoft/nlp-recipes
attention-is-all-you-need-pytorch,jadore801120,5500,https://github.com/jadore801120/attention-is-all-you-need-pytorch
stanza,stanfordnlp,5500,https://github.com/stanfordnlp/stanza
best-of-ml-python,ml-tooling,5500,https://github.com/ml-tooling/best-of-ml-python
smile,haifengl,5300,https://github.com/haifengl/smile
DeepPavlov,deepmipt,5300,https://github.com/deepmipt/DeepPavlov
mycroft-core,MycroftAI,5200,https://github.com/MycroftAI/mycroft-core
flashtext,vi3k6i5,4800,https://github.com/vi3k6i5/flashtext
tokenizers,huggingface,4700,https://github.com/huggingface/tokenizers
nlp.js,axa-group,4500,https://github.com/axa-group/nlp.js
BERT-pytorch,codertimo,4300,https://github.com/codertimo/BERT-pytorch
ERNIE,PaddlePaddle,4300,https://github.com/PaddlePaddle/ERNIE
practical-pytorch,spro,4300,https://github.com/spro/practical-pytorch
GPT2-Chinese,Morizeyao,4100,https://github.com/Morizeyao/GPT2-Chinese
TagUI,kelaberetiv,4000,https://github.com/kelaberetiv/TagUI
Synonyms,chatopera,3800,https://github.com/chatopera/Synonyms
d2l-pytorch,dsgiitr,3700,https://github.com/dsgiitr/d2l-pytorch
Ai-Learn,tangyudi,3700,https://github.com/tangyudi/Ai-Learn
franc,wooorm,3500,https://github.com/wooorm/franc
snips-nlu,snipsco,3500,https://github.com/snipsco/snips-nlu
ltp,HIT-SCIR,3400,https://github.com/HIT-SCIR/ltp
Dive-into-DL-TensorFlow2.0,TrickyGo,3200,https://github.com/TrickyGo/Dive-into-DL-TensorFlow2.0
libpostal,openvenues,3200,https://github.com/openvenues/libpostal
bertviz,jessevig,3000,https://github.com/jessevig/bertviz
nlp_tasks,Kyubyong,2900,https://github.com/Kyubyong/nlp_tasks
pytorch-sentiment-analysis,bentrevett,2900,https://github.com/bentrevett/pytorch-sentiment-analysis
NeMo,NVIDIA,2900,https://github.com/NVIDIA/NeMo
course-nlp,fastai,2900,https://github.com/fastai/course-nlp
text,pytorch,2800,https://github.com/pytorch/text
prose,jdkato,2800,https://github.com/jdkato/prose
nlp-architect,IntelLabs,2700,https://github.com/IntelLabs/nlp-architect
Parsr,axa-group,2700,https://github.com/axa-group/Parsr
DeepNLP-models-Pytorch,DSKSD,2600,https://github.com/DSKSD/DeepNLP-models-Pytorch
sumy,miso-belica,2600,https://github.com/miso-belica/sumy
nlp-roadmap,graykode,2500,https://github.com/graykode/nlp-roadmap
Familia,baidu,2400,https://github.com/baidu/Familia
awesome-deeplearning-resources,endymecy,2400,https://github.com/endymecy/awesome-deeplearning-resources
sentiment,thisandagain,2400,https://github.com/thisandagain/sentiment
eli5,TeamHG-Memex,2400,https://github.com/TeamHG-Memex/eli5
neuralcoref,huggingface,2300,https://github.com/huggingface/neuralcoref
papers,aleju,2300,https://github.com/aleju/papers
thinc,explosion,2300,https://github.com/explosion/thinc
unilm,microsoft,2300,https://github.com/microsoft/unilm
gluon-nlp,dmlc,2300,https://github.com/dmlc/gluon-nlp
rasa_core,RasaHQ,2300,https://github.com/RasaHQ/rasa_core
lingvo,tensorflow,2300,https://github.com/tensorflow/lingvo
texthero,jbesomi,2200,https://github.com/jbesomi/texthero
spark-nlp,JohnSnowLabs,2200,https://github.com/JohnSnowLabs/spark-nlp
nlpaug,makcedward,2200,https://github.com/makcedward/nlpaug
Jiagu,ownthink,2200,https://github.com/ownthink/Jiagu
knockknock,huggingface,2200,https://github.com/huggingface/knockknock
Kashgari,BrikerMan,2100,https://github.com/BrikerMan/Kashgari
haystack,deepset-ai,2100,https://github.com/deepset-ai/haystack
kcws,koth,2100,https://github.com/koth/kcws
textlint,textlint,2100,https://github.com/textlint/textlint
ml-workspace,ml-tooling,2000,https://github.com/ml-tooling/ml-workspace
sru,asappresearch,2000,https://github.com/asappresearch/sru
lazynlp,chiphuyen,1900,https://github.com/chiphuyen/lazynlp
PyTorch-NLP,PetrochukM,1900,https://github.com/PetrochukM/PyTorch-NLP
awesome-sentence-embedding,Separius,1900,https://github.com/Separius/awesome-sentence-embedding
sling,google,1900,https://github.com/google/sling
aeneas,readbeyond,1900,https://github.com/readbeyond/aeneas
spacy-course,ines,1800,https://github.com/ines/spacy-course
CLUEDatasetSearch,CLUEbenchmark,1800,https://github.com/CLUEbenchmark/CLUEDatasetSearch
Information-Extraction-Chinese,crownpku,1800,https://github.com/crownpku/Information-Extraction-Chinese
electra,google-research,1800,https://github.com/google-research/electra
uda,google-research,1700,https://github.com/google-research/uda
DeepLearn,GauravBh1010tt,1700,https://github.com/GauravBh1010tt/DeepLearn
kaggle-CrowdFlower,ChenglongChen,1700,https://github.com/ChenglongChen/kaggle-CrowdFlower
textacy,chartbeat-labs,1700,https://github.com/chartbeat-labs/textacy
DeepLearningForNLPInPytorch,rguthrie3,1700,https://github.com/rguthrie3/DeepLearningForNLPInPytorch
awesome-bert,Jiakui,1700,https://github.com/Jiakui/awesome-bert
scattertext,JasonKessler,1600,https://github.com/JasonKessler/scattertext
ml-road,yanshengjia,1600,https://github.com/yanshengjia/ml-road
gse,go-ego,1600,https://github.com/go-ego/gse
pytextrank,DerwenAI,1600,https://github.com/DerwenAI/pytextrank
NeuroNER,Franck-Dernoncourt,1600,https://github.com/Franck-Dernoncourt/NeuroNER
nlp,duoergun0729,1600,https://github.com/duoergun0729/nlp
TextAttack,QData,1500,https://github.com/QData/TextAttack
NLP-Models-Tensorflow,huseinzol05,1500,https://github.com/huseinzol05/NLP-Models-Tensorflow
StudyBook,changwookjun,1500,https://github.com/changwookjun/StudyBook
PyTorchNLPBook,joosthub,1500,https://github.com/joosthub/PyTorchNLPBook
PaddleNLP,PaddlePaddle,1500,https://github.com/PaddlePaddle/PaddleNLP
ChineseGLUE,ChineseGLUE,1500,https://github.com/ChineseGLUE/ChineseGLUE
tensorflow-nlp,zhedongzheng,1500,https://github.com/zhedongzheng/tensorflow-nlp
bi-att-flow,allenai,1500,https://github.com/allenai/bi-att-flow
magnitude,plasticityai,1500,https://github.com/plasticityai/magnitude
