Repository Name,Username,Stars,URL
scrcpy,Genymobile,51800,https://github.com/Genymobile/scrcpy
neovim,neovim,45500,https://github.com/neovim/neovim
git,git,38600,https://github.com/git/git
awesome-cpp,fffaraz,32299,https://github.com/fffaraz/awesome-cpp
obs-studio,obsproject,29900,https://github.com/obsproject/obs-studio
open-source-mac-os-apps,serhii-londar,26400,https://github.com/serhii-londar/open-source-mac-os-apps
FFmpeg,FFmpeg,25400,https://github.com/FFmpeg/FFmpeg
vim,vim,24200,https://github.com/vim/vim
the_silver_searcher,ggreer,22300,https://github.com/ggreer/the_silver_searcher
curl,curl,21300,https://github.com/curl/curl
interview,huihut,19400,https://github.com/huihut/interview
ruby,ruby,18300,https://github.com/ruby/ruby
flatbuffers,google,16500,https://github.com/google/flatbuffers
graal,oracle,15600,https://github.com/oracle/graal
mpv,mpv-player,15400,https://github.com/mpv-player/mpv
rufus,pbatard,15300,https://github.com/pbatard/rufus
radare2,radareorg,14600,https://github.com/radareorg/radare2
shadowsocks-libev,shadowsocks,14500,https://github.com/shadowsocks/shadowsocks-libev
goaccess,allinurl,13400,https://github.com/allinurl/goaccess
nuklear,vurtun,13300,https://github.com/vurtun/nuklear
vcpkg,microsoft,13200,https://github.com/microsoft/vcpkg
infer,facebook,12400,https://github.com/facebook/infer
nnn,jarun,11800,https://github.com/jarun/nnn
kitty,kovidgoyal,11800,https://github.com/kovidgoyal/kitty
Sourcetrail,CoatiSoftware,11600,https://github.com/CoatiSoftware/Sourcetrail
raspberry-pi-os,s-matyukevich,10400,https://github.com/s-matyukevich/raspberry-pi-os
hashcat,hashcat,10200,https://github.com/hashcat/hashcat
tig,jonas,10100,https://github.com/jonas/tig
qmk_firmware,qmk,10000,https://github.com/qmk/qmk_firmware
C,TheAlgorithms,9800,https://github.com/TheAlgorithms/C
OpenRCT2,OpenRCT2,9600,https://github.com/OpenRCT2/OpenRCT2
reactos,reactos,9600,https://github.com/reactos/reactos
ip2region,lionsoul2014,9400,https://github.com/lionsoul2014/ip2region
libsodium,jedisct1,9400,https://github.com/jedisct1/libsodium
phpredis,phpredis,9000,https://github.com/phpredis/phpredis
Pillow,python-pillow,8700,https://github.com/python-pillow/Pillow
Craft,fogleman,8700,https://github.com/fogleman/Craft
webview,webview,8600,https://github.com/webview/webview
CS-Book,iamshuaidi,8500,https://github.com/iamshuaidi/CS-Book
thrift,apache,8500,https://github.com/apache/thrift
systemd,systemd,8200,https://github.com/systemd/systemd
gdbgui,cs01,8100,https://github.com/cs01/gdbgui
mal,kanaka,8000,https://github.com/kanaka/mal
glfw,glfw,7800,https://github.com/glfw/glfw
vlc,videolan,7800,https://github.com/videolan/vlc
libevent,libevent,7700,https://github.com/libevent/libevent
rofi,davatorium,7600,https://github.com/davatorium/rofi
borg,borgbackup,7400,https://github.com/borgbackup/borg
kotlin-native,JetBrains,7100,https://github.com/JetBrains/kotlin-native
project-based-tutorials-in-c,rby90,7000,https://github.com/rby90/project-based-tutorials-in-c
raylib,raysan5,6800,https://github.com/raysan5/raylib
robotgo,go-vgo,6700,https://github.com/go-vgo/robotgo
sumatrapdf,sumatrapdfreader,6700,https://github.com/sumatrapdfreader/sumatrapdf
tini,krallin,6300,https://github.com/krallin/tini
cython,cython,6200,https://github.com/cython/cython
lz4,lz4,6200,https://github.com/lz4/lz4
lvgl,lvgl,6100,https://github.com/lvgl/lvgl
