Repository Name,Username,Stars,URL
stackedit,benweet,18200,https://github.com/benweet/stackedit
nginxconfig.io,digitalocean,13000,https://github.com/digitalocean/nginxconfig.io
wp-calypso,Automattic,11800,https://github.com/Automattic/wp-calypso
sage,roots,11300,https://github.com/roots/sage
woocommerce,woocommerce,7100,https://github.com/woocommerce/woocommerce
gutenberg,WordPress,7000,https://github.com/WordPress/gutenberg
wpscan,wpscanteam,5900,https://github.com/wpscanteam/wpscan
bedrock,roots,5300,https://github.com/roots/bedrock
timber,timber,4800,https://github.com/timber/timber
VVV,Varying-Vagrant-Vagrants,4600,https://github.com/Varying-Vagrant-Vagrants/VVV
wp-cli,wp-cli,4400,https://github.com/wp-cli/wp-cli
headless-wp-starter,postlight,4100,https://github.com/postlight/headless-wp-starter
corcel,corcel,3300,https://github.com/corcel/corcel
wp-bootstrap-navwalker,wp-bootstrap,3300,https://github.com/wp-bootstrap/wp-bootstrap-navwalker
WordPress-iOS,wordpress-mobile,3200,https://github.com/wordpress-mobile/WordPress-iOS
wp-graphql,wp-graphql,3000,https://github.com/wp-graphql/wp-graphql
lando,lando,3000,https://github.com/lando/lando
create-guten-block,ahmadawais,2900,https://github.com/ahmadawais/create-guten-block
FoundationPress,olefredrik,2800,https://github.com/olefredrik/FoundationPress
CMB2,CMB2,2600,https://github.com/CMB2/CMB2
WordPress-Android,wordpress-mobile,2500,https://github.com/wordpress-mobile/WordPress-Android
versionpress,versionpress,2400,https://github.com/versionpress/versionpress
frontity,frontity,2300,https://github.com/frontity/frontity
trellis,roots,2200,https://github.com/roots/trellis
Sakura,mashirozx,2100,https://github.com/mashirozx/Sakura
easyengine,EasyEngine,1800,https://github.com/EasyEngine/easyengine
data.gov,GSA,1800,https://github.com/GSA/data.gov
wordmove,welaika,1800,https://github.com/welaika/wordmove
RED_HAWK,Tuhinshubhra,1700,https://github.com/Tuhinshubhra/RED_HAWK
amp-wp,ampproject,1700,https://github.com/ampproject/amp-wp
plugin-update-checker,YahnisElsts,1600,https://github.com/YahnisElsts/plugin-update-checker
wordplate,wordplate,1500,https://github.com/wordplate/wordplate
S3-Uploads,humanmade,1500,https://github.com/humanmade/S3-Uploads
wordpress-bootstrap,arnabwahid,1500,https://github.com/arnabwahid/wordpress-bootstrap
